id_pdc_itinerance,id_tariff
FRR3ME5281976,FRR3MTARIFF_R3_DC
FRR3ME5285094,FRR3MTARIFF_R3_DC
FRR3ME5371883,FRR3MTARIFF_R3_DC
FRR3ME5375573,FRR3MTARIFF_R3_DC
FRR3ME5405456,FRR3MTARIFF_R3_DC
FRR3ME5575245,FRR3MTARIFF_R3_DC
FRR3ME5406410,FRR3MTARIFF_R3_DC
FRR3ME5406411,FRR3MTARIFF_R3_DC
FRR3ME5808014,FRR3MTARIFF_R3_DC
FRR3ME5406412,FRR3MTARIFF_R3_DC
FRR3ME5406413,FRR3MTARIFF_R3_DC
FRR3ME5574289,FRR3MTARIFF_R3_DC
FRR3ME5573240,FRR3MTARIFF_R3_DC
FRR3ME4992722,FRR3MTARIFF_R3_DC
FRR3ME5374703,FRR3MTARIFF_R3_DC
FRR3ME5372114,FRR3MTARIFF_R3_DC
FRR3ME5573242,FRR3MTARIFF_R3_DC
FRR3ME5410972,FRR3MTARIFF_R3_DC
FRR3ME5556339,FRR3MTARIFF_R3_DC
FRR3ME5573243,FRR3MTARIFF_R3_DC
FRR3ME5573246,FRR3MTARIFF_R3_DC
FRR3ME5371903,FRR3MTARIFF_R3_DC
FRR3ME5410973,FRR3MTARIFF_R3_DC
FRR3ME5573247,FRR3MTARIFF_R3_DC
FRR3ME5406038,FRR3MTARIFF_R3_DC
FRR3ME5808017,FRR3MTARIFF_R3_DC
FRR3ME5808018,FRR3MTARIFF_R3_DC
FRR3ME5808015,FRR3MTARIFF_R3_DC
FRR3ME5372105,FRR3MTARIFF_R3_DC
FRR3ME5372134,FRR3MTARIFF_R3_DC
FRR3ME5808016,FRR3MTARIFF_R3_DC
FRR3ME5410976,FRR3MTARIFF_R3_DC
FRR3ME5572835,FRR3MTARIFF_R3_DC
FRR3ME5805114,FRR3MTARIFF_R3_DC
FRR3ME5572762,FRR3MTARIFF_R3_DC
FRR3ME5372113,FRR3MTARIFF_R3_DC
FRR3ME5001829,FRR3MTARIFF_R3_DC
FRR3ME5374702,FRR3MTARIFF_R3_DC
FRR3ME4661787,FRR3MTARIFF_R3_DC
FRR3ME5575092,FRR3MTARIFF_R3_DC
FRR3ME5264394,FRR3MTARIFF_R3_DC
FRR3ME4992713,FRR3MTARIFF_R3_DC
FRR3ME5558903,FRR3MTARIFF_R3_DC
FRR3ME5556149,FRR3MTARIFF_R3_DC
FRR3ME5552134,FRR3MTARIFF_R3_DC
FRR3ME5002800,FRR3MTARIFF_R3_DC
FRR3ME5000798,FRR3MTARIFF_R3_DC
FRR3ME5265256,FRR3MTARIFF_R3_DC
FRR3ME5264701,FRR3MTARIFF_R3_DC
FRR3ME5410977,FRR3MTARIFF_R3_DC
FRR3ME5552051,FRR3MTARIFF_R3_DC
FRR3ME5406019,FRR3MTARIFF_R3_DC
FRR3ME5406039,FRR3MTARIFF_R3_DC
FRR3ME5239902,FRR3MTARIFF_R3_DC
FRR3ME5556188,FRR3MTARIFF_R3_DC
FRR3ME5405966,FRR3MTARIFF_R3_DC
FRR3ME5558638,FRR3MTARIFF_R3_DC
FRR3ME5805110,FRR3MTARIFF_R3_DC
FRR3ME5558642,FRR3MTARIFF_R3_DC
FRR3ME5371971,FRR3MTARIFF_R3_DC
FRR3ME5669682,FRR3MTARIFF_R3_DC
FRR3ME5552168,FRR3MTARIFF_R3_DC
FRR3ME5405968,FRR3MTARIFF_R3_DC
FRR3ME5574268,FRR3MTARIFF_R3_DC
FRR3ME5383019,FRR3MTARIFF_R3_DC
FRR3ME5283550,FRR3MTARIFF_R3_DC
FRR3ME5265247,FRR3MTARIFF_R3_DC
FRR3ME5551233,FRR3MTARIFF_R3_DC
FRR3ME5551238,FRR3MTARIFF_R3_DC
FRR3ME5001387,FRR3MTARIFF_R3_DC
FRR3ME5373843,FRR3MTARIFF_R3_DC
