id_pdc_itinerance,id_tariff
FRATLE102112,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE006382,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE000033,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE003571,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE105003,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE105112,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105381,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE104041,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE103932,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE005361,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE105001,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE100831,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105111,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE104261,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE100632,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLEHYC15022BZ0986A1,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE005923,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLEHYC15022BZ0991A2,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE103931,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE005911,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE003631,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE004113,FRATL6fda9486-bb45-49e1-9b86-84b8f251a478
FRATLE103691,FRATL0d03b682-293f-4f8a-8444-35641b04c757
FRATLE101012,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105372,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE100291,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE102162,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE003301,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE104801,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRALDE100712,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE103132,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE004121,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE002111,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE004491,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE101151,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105073,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE002261,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE002192,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE104751,FRATL30d42725-886e-4aaf-a2b6-4fa1d232bb4b
FRATLE104732,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE104972,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE110851,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105082,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE104921,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE101732,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE004701,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE103701,FRATL0d03b682-293f-4f8a-8444-35641b04c757
FRATLE001032,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE104291,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE103151,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE104191,FRATL30d42725-886e-4aaf-a2b6-4fa1d232bb4b
FRATLE103901,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE110961,FRATL0d03b682-293f-4f8a-8444-35641b04c757
FRATLE101572,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLEHYC15022BZ0974A1,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE101531,FRATL0d03b682-293f-4f8a-8444-35641b04c757
FRATLE105553,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE002231,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE004651,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE004401,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE001161,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE003333,FRATL7263d104-13cf-4838-9a5a-2974f967fb7a
FRATLE100811,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE000803,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRALDE104532,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105172,FRATL30d42725-886e-4aaf-a2b6-4fa1d232bb4b
FRATLE102871,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLEHYC15022BZ0995A2,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE105243,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE102532,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE101581,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105201,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE004361,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE101351,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLEHYC15022BZ0996A1,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE003331,FRATL6fda9486-bb45-49e1-9b86-84b8f251a478
FRATLE004591,FRATL6fda9486-bb45-49e1-9b86-84b8f251a478
FRATLE002372,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE100432,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE111171,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE103792,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE105251,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE104222,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE102042,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE101701,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE105101,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE103402,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE100971,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRALDE100722,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE101472,FRATL0d03b682-293f-4f8a-8444-35641b04c757
FRATLE102082,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE001082,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE003281,FRATL6fda9486-bb45-49e1-9b86-84b8f251a478
FRATLE104332,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE104632,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE101811,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE105211,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE102472,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE104281,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE100161,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE104692,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE101501,FRATL0d03b682-293f-4f8a-8444-35641b04c757
FRATLE101851,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE003442,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE000702,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE004011,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE101642,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE100272,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE004161,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE100652,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE105573,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE102132,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE107311,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE101722,FRATL34f7e4fd-ea01-402e-95ed-1a92fedd4a39
FRATLE101502,FRATL0d03b682-293f-4f8a-8444-35641b04c757
FRATLE104871,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE001011,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE104211,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE102542,FRATL5152fed1-8794-4df8-9bed-55deef54d319
FRATLE104032,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLEHYC15022BZ0995A1,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE005012,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE000571,FRATL99d24794-f778-46e6-8171-555bab3a25c4
FRATLE003361,FRATLe06972d7-a9e5-45f3-b044-5a6c712110b2
FRATLE103421,FRATL5152fed1-8794-4df8-9bed-55deef54d319
