id_station_itinerance,id_pdc_itinerance,puissance_nominale,tariff id
FRBFCPVDIJZ,FRBFCEVDIJZ1,43,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDIJZ,FRBFCEVDIJZ2,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDIJZ,FRBFCEVDIJZ3,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDIKC,FRBFCEVDIKC1,43,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDIKC,FRBFCEVDIKC2,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDIKC,FRBFCEVDIKC3,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDIQF,FRBFCEVDIQF1,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDIQF,FRBFCEVDIQF2,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDIUF,FRBFCEVDIUF1,22,46d965e1-aee3-5562-8971-4c5f515c3c13
FRBFCPVDIUF,FRBFCEVDIUF2,22,46d965e1-aee3-5562-8971-4c5f515c3c13
FRBFCPVDIXZ,FRBFCEVDIXZ1,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDIXZ,FRBFCEVDIXZ2,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJAD,FRBFCEVDJAD1,22,e93cabb7-3f4f-5892-9576-217e669e22eb
FRBFCPVDJAD,FRBFCEVDJAD2,22,e93cabb7-3f4f-5892-9576-217e669e22eb
FRBFCPVDJFY,FRBFCEVDJFY1,43,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDJFY,FRBFCEVDJFY2,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDJFY,FRBFCEVDJFY3,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDJLE,FRBFCEVDJLE1,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJLE,FRBFCEVDJLE2,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJMN,FRBFCEVDJMN1,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJMN,FRBFCEVDJMN2,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJNV,FRBFCEVDJNV1,22,20afe9df-b572-539e-8955-6078c35aa306
FRBFCPVDJNV,FRBFCEVDJNV2,22,20afe9df-b572-539e-8955-6078c35aa306
FRBFCPVDJOY,FRBFCEVDJOY1,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJOY,FRBFCEVDJOY2,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJPA,FRBFCEVDJPA1,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJPA,FRBFCEVDJPA2,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJPM,FRBFCEVDJPM1,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJPM,FRBFCEVDJPM2,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJRE,FRBFCEVDJRE1,22,e93cabb7-3f4f-5892-9576-217e669e22eb
FRBFCPVDJRE,FRBFCEVDJRE2,22,e93cabb7-3f4f-5892-9576-217e669e22eb
FRBFCPVDJTM,FRBFCEVDJTM1,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJTM,FRBFCEVDJTM2,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJTO,FRBFCEVDJTO1,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJTO,FRBFCEVDJTO2,22,31eec665-e151-588b-89ac-d28253c01e3c
FRBFCPVDJTS,FRBFCEVDJTS1,22,e93cabb7-3f4f-5892-9576-217e669e22eb
FRBFCPVDJTS,FRBFCEVDJTS2,22,e93cabb7-3f4f-5892-9576-217e669e22eb
FRBFCPVDJVL,FRBFCEVDJVL1,43,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDJVL,FRBFCEVDJVL2,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDJVL,FRBFCEVDJVL3,50,23108e8c-e4ce-5fd0-b4fa-092f3f4a4c55
FRBFCPVDJXI,FRBFCEVDJXI1,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJXI,FRBFCEVDJXI2,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJXL,FRBFCEVDJXL1,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDJXL,FRBFCEVDJXL2,22,a4c79978-1602-5093-9fe9-a1ee7d10c844
FRBFCPVDKAF,FRBFCEVDKAF1,22,46d965e1-aee3-5562-8971-4c5f515c3c13
FRBFCPVDKAF,FRBFCEVDKAF2,22,46d965e1-aee3-5562-8971-4c5f515c3c13
FRBFCPVDKDG,FRBFCEVDKDG1,22,31eec665-e151-588b-89ac-d28253c01e3c
