id_pdc_itinerance,id_tariff
FRDRVE11816P1,FRDRVDRV-energy-5
FRDRVE11816P2,FRDRVDRV-energy-5
FRDRVE22011A00001301P1,FRDRVDRV-energy-42
FRDRVE22011A00001801P1,FRDRVDRV-energy-42
FRDRVEIES2022092994620002P1,FRDRVDRV-energy-42
FRDRVEIES2022092994620001P1,FRDRVDRV-energy-42
FRDRVE11833P1,FRDRVDRV-energy-5
FRDRVE11833P2,FRDRVDRV-energy-5
FRDRVE11657P1,FRDRVDRV-energy-5
FRDRVE11657P2,FRDRVDRV-energy-5
FRDRVE22011A00003001P1,FRDRVDRV-energy-42
FRDRVE22011A00002301P1,FRDRVDRV-energy-42
FRDRVE12149P1,FRDRVDRV-energy-5
FRDRVE12149P2,FRDRVDRV-energy-5
FRDRVE22011A00025401P1,FRDRVDRV-energy-42
FRDRVE22011A00025901P1,FRDRVDRV-energy-42
FRDRVE11832P1,FRDRVDRV-energy-5
FRDRVE11832P2,FRDRVDRV-energy-5
FRDRVE22011A00003501P1,FRDRVDRV-energy-42
FRDRVE22011A00003101P1,FRDRVDRV-energy-42
FRDRVE11865P1,FRDRVDRV-energy-5
FRDRVE11865P2,FRDRVDRV-energy-5
FRDRVE22011A00003801P1,FRDRVDRV-energy-42
FRDRVE22011A00004701P1,FRDRVDRV-energy-42
FRDRVE11931P1,FRDRVDRV-energy-5
FRDRVE11931P2,FRDRVDRV-energy-5
FRDRVE22011A00005001P1,FRDRVDRV-energy-42
FRDRVE22011A00004201P1,FRDRVDRV-energy-42
FRDRVE22011A00001401P1,FRDRVDRV-energy-42
FRDRVE22011A00001501P1,FRDRVDRV-energy-42
FRDRVE11836P1,FRDRVDRV-energy-5
FRDRVE11836P2,FRDRVDRV-energy-5
FRDRVE22011A00012101,FRDRVDRV-energy-42
FRDRVE22011A00012401P1,FRDRVDRV-energy-42
FRDRVE12110P1,FRDRVDRV-energy-5
FRDRVE12110P2,FRDRVDRV-energy-5
FRDRVE11936P1,FRDRVDRV-energy-5
FRDRVE11936P2,FRDRVDRV-energy-5
FRDRVE22011A00006401P1,FRDRVDRV-energy-42
FRDRVE22011A00006501P1,FRDRVDRV-energy-42
FRDRVE11930P1,FRDRVDRV-energy-5
FRDRVE11930P2,FRDRVDRV-energy-5
FRDRVE22011A00005401P1,FRDRVDRV-energy-42
FRDRVE22011A00005501P1,FRDRVDRV-energy-42
FRDRVE11658P1,FRDRVDRV-energy-5
FRDRVE11658P2,FRDRVDRV-energy-5
FRDRVE22011A00000301P1,FRDRVDRV-energy-42
FRDRVE22011A00002001P1,FRDRVDRV-energy-42
FRDRVE11659P1,FRDRVDRV-energy-5
FRDRVE11659P2,FRDRVDRV-energy-5
FRDRVE22011A00000201P1,FRDRVDRV-energy-42
FRDRVE22011A00000501P1,FRDRVDRV-energy-42
