id_pdc_itinerance,id_tariff
FREBNEBADHE1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBADHE2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBADHE3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAJCV1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAJCV2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAJCV3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAMDW1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAMDW2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAMDW3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANMM1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANMM2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANMM3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANSH1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANSH2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANZJ1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANZJ2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBANZJ3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBASSL1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBASSL2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBASSL3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAWPJ1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAWPJ2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAWPJ3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAYJE1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAYJE2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBAYJE3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBCAE1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBCAE2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBCAE3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBMBQ1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBMBQ2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBMBQ3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBMEK1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBMEK2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBMEK3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBNXM1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBNXM2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBNXM3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBQVJ1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBQVJ2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBQVJ3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBTPF1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBTPF2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBTPF3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBULY1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBULY2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBBULY3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBCBXS1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBCBXS2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBCDXR1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBCDXR2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBCDXR3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBCSNL1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBCSNL2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDCEG1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDCEG2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDCEG3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDYYN1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDYYN2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDYYN3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDZBM1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDZBM2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDZBM3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDZCW1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDZCW2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBDZCW3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBECPM1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBECPM2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBECPM3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBECRN1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBECRN2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBECRN3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEDFF1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEDFF2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEDFF3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEFKS1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEFKS2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEFKS3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEPTR1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEPTR2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEPTR3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEUEM1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEUEM2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEUEM3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEVAF1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEVAF2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEVAF3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEVEL1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEVEL2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEVEL3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEYSB1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEYSB2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEYSB3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEYUR1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEYUR2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBEYUR3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFAMH1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFAMH2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFAMH3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFHRQ1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFHRQ2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFHRQ3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFLRM1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFLRM2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFLRM3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFNTT1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFNTT2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFNTT3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFNVK1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFNVK2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFNVK3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFRQA1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFRQA2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFRQA3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFYYQ1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFYYQ2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBFYYQ3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGLBQ1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGLBQ2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGLBQ3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGMGE1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGMGE2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGMGE3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGQFD1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGQFD2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGQFD3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGRRP1,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGRRP2,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
FREBNEBGRRP3,FREBNee37972e-f153-5a4c-ba5d-db163a3a3e48
