evse_id,id_pdc_itinerance,tariff_id
FR*EVZ*EABID*1,FREVZEABID1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EABID*2,FREVZEABID2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EABID*3,FREVZEABID3,303a999db1e8436d891395637110fbb2
FR*EVZ*EABLE*1,FREVZEABLE1,b5dafd86e84b4243b906ead05482058a
FR*EVZ*EABLE*2,FREVZEABLE2,b5dafd86e84b4243b906ead05482058a
FR*EVZ*EABOU*1,FREVZEABOU1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EABOU*2,FREVZEABOU2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EADER*1,FREVZEADER1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EADER*2,FREVZEADER2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EADER*3,FREVZEADER3,303a999db1e8436d891395637110fbb2
FR*EVZ*EADNA*1,FREVZEADNA1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EADNA*2,FREVZEADNA2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EADNA*3,FREVZEADNA3,303a999db1e8436d891395637110fbb2
FR*EVZ*EAFIA*1,FREVZEAFIA1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAFIA*2,FREVZEAFIA2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAFIA*3,FREVZEAFIA3,303a999db1e8436d891395637110fbb2
FR*EVZ*EAFSA*1,FREVZEAFSA1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAGOP*1,FREVZEAGOP1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAGOP*2,FREVZEAGOP2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAHAN*1,FREVZEAHAN1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAHNI*1,FREVZEAHNI1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAHOU*1,FREVZEAHOU1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAHOU*2,FREVZEAHOU2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAILA*1,FREVZEAILA1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAIMI*1,FREVZEAIMI1,9390bdd487804336807aaf69768e03df
FR*EVZ*EAIMI*2,FREVZEAIMI2,9390bdd487804336807aaf69768e03df
FR*EVZ*EAIMY*1,FREVZEAIMY1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAIRY*1,FREVZEAIRY1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAIRY*2,FREVZEAIRY2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAIZA*1,FREVZEAIZA1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAIZA*2,FREVZEAIZA2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAJDA*1,FREVZEAJDA1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAJDA*2,FREVZEAJDA2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAJDA*3,FREVZEAJDA3,303a999db1e8436d891395637110fbb2
FR*EVZ*EAKAN*1,FREVZEAKAN1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAKAN*2,FREVZEAKAN2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAKAN*3,FREVZEAKAN3,303a999db1e8436d891395637110fbb2
FR*EVZ*EAKAY*1,FREVZEAKAY1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAKIA*1,FREVZEAKIA1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAKIN*1,FREVZEAKIN1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAKIN*2,FREVZEAKIN2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAKOI*1,FREVZEAKOI1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAKOS*1,FREVZEAKOS1,303a999db1e8436d891395637110fbb2
FR*EVZ*EAKUR*1,FREVZEAKUR1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EAKUR*2,FREVZEAKUR2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EALAH*1,FREVZEALAH1,303a999db1e8436d891395637110fbb2
FR*EVZ*EALAM*1,FREVZEALAM1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EALAM*2,FREVZEALAM2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EALAN*1,FREVZEALAN1,303a999db1e8436d891395637110fbb2
FR*EVZ*EALAY*1,FREVZEALAY1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EALAY*2,FREVZEALAY2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EALEE*1,FREVZEALEE1,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EALEE*2,FREVZEALEE2,d369901a61db4255a5fd40e4795b29e7
FR*EVZ*EALEE*3,FREVZEALEE3,303a999db1e8436d891395637110fbb2
