id_pdc_itinerance,id_tariff
FREVZEABID1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEABID2,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEABID3,FREVZ303a999db1e8436d891395637110fbb2
FREVZEABLE1,FREVZb5dafd86e84b4243b906ead05482058a
FREVZEABLE2,FREVZb5dafd86e84b4243b906ead05482058a
FREVZEABOU1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEABOU2,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEADER1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEADER2,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEADER3,FREVZ303a999db1e8436d891395637110fbb2
FREVZEADNA1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEADNA2,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEADNA3,FREVZ303a999db1e8436d891395637110fbb2
FREVZEAFIA1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEAFIA2,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEAFIA3,FREVZ303a999db1e8436d891395637110fbb2
FREVZEAFSA1,FREVZ303a999db1e8436d891395637110fbb2
FREVZEAGOP1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEAGOP2,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEAHAN1,FREVZ303a999db1e8436d891395637110fbb2
FREVZEAHNI1,FREVZ303a999db1e8436d891395637110fbb2
FREVZEAHOU1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEAHOU2,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEAILA1,FREVZ303a999db1e8436d891395637110fbb2
FREVZEAIMI1,FREVZ9390bdd487804336807aaf69768e03df
FREVZEAIMI2,FREVZ9390bdd487804336807aaf69768e03df
FREVZEAIMY1,FREVZ303a999db1e8436d891395637110fbb2
FREVZEAIRY1,FREVZd369901a61db4255a5fd40e4795b29e7
FREVZEAIRY2,FREVZd369901a61db4255a5fd40e4795b29e7
