id_pdc_itinerance,id_tariff
FRFASE3327606,FRFAStarif_unique_1
FRFASE3300706,FRFAStarif_unique_1
FRFASE3323310,FRFAStarif_unique_1
FRFASE3320903,FRFAStarif_unique_1
FRFASE3311106,FRFAStarif_unique_1
FRFASE3309914,FRFAStarif_unique_1
FRFASE3309807,FRFAStarif_unique_1
FRFASE3302303,FRFAStarif_unique_1
FRFASE3325703,FRFAStarif_unique_1
FRFASE3302506,FRFAStarif_unique_1
FRFASE3332002,FRFAStarif_unique_1
FRFASE3322305,FRFAStarif_unique_1
FRFASE3325701,FRFAStarif_unique_1
FRFASE3335904,FRFAStarif_unique_1
FRFASE3325704,FRFAStarif_unique_1
FRFASE3326303,FRFAStarif_unique_1
FRFASE3311002,FRFAStarif_unique_1
FRFASE3333104,FRFAStarif_unique_1
FRFASE3320901,FRFAStarif_unique_1
FRFASE3302304,FRFAStarif_unique_1
FRFASE3325708,FRFAStarif_unique_1
FRFASE3333102,FRFAStarif_unique_1
FRFASE3337403,FRFAStarif_unique_1
FRFASE3309608,FRFAStarif_unique_1
FRFASE3322506,FRFAStarif_unique_1
FRFASE3320301,FRFAStarif_unique_1
FRFASE3311006,FRFAStarif_unique_1
FRFASE3302906,FRFAStarif_unique_1
FRFASE3310108,FRFAStarif_unique_1
FRFASE3323307,FRFAStarif_unique_1
FRFASE3322604,FRFAStarif_unique_1
FRFASE3309810,FRFAStarif_unique_1
FRFASE3302603,FRFAStarif_unique_1
FRFASE3337106,FRFAStarif_unique_1
FRFASE3337111,FRFAStarif_unique_1
FRFASE3337108,FRFAStarif_unique_1
FRFASE3311107,FRFAStarif_unique_1
FRFASE3309605,FRFAStarif_unique_1
FRFASE3333101,FRFAStarif_unique_1
FRFASE3333107,FRFAStarif_unique_1
FRFASE3337402,FRFAStarif_unique_1
FRFASE3337202,FRFAStarif_unique_1
FRFASE3327603,FRFAStarif_unique_1
FRFASE3321906,FRFAStarif_unique_1
FRFASE3323104,FRFAStarif_unique_1
FRFASE3309815,FRFAStarif_unique_1
FRFASE3302607,FRFAStarif_unique_1
FRFASE3325707,FRFAStarif_unique_1
FRFASE3302907,FRFAStarif_unique_1
FRFASE3323106,FRFAStarif_unique_1
FRFASE3302101,FRFAStarif_unique_1
FRFASE3327605,FRFAStarif_unique_1
FRFASE3320302,FRFAStarif_unique_1
FRFASE3327906,FRFAStarif_unique_1
FRFASE3302507,FRFAStarif_unique_1
FRFASE3336806,FRFAStarif_unique_1
FRFASE3323305,FRFAStarif_unique_1
FRFASE3311303,FRFAStarif_unique_1
FRFASE3302602,FRFAStarif_unique_1
FRFASE3309913,FRFAStarif_unique_1
FRFASE3337404,FRFAStarif_unique_1
FRFASE3311304,FRFAStarif_unique_1
FRFASE3325804,FRFAStarif_unique_1
FRFASE3310505,FRFAStarif_unique_1
FRFASE3323107,FRFAStarif_unique_1
FRFASE3310302,FRFAStarif_unique_1
FRFASE3322902,FRFAStarif_unique_1
FRFASE3311013,FRFAStarif_unique_1
FRFASE3336801,FRFAStarif_unique_1
FRFASE3336802,FRFAStarif_unique_1
FRFASE3336804,FRFAStarif_unique_1
FRFASE3336807,FRFAStarif_unique_1
FRFASE3336808,FRFAStarif_unique_1
FRFASE3302707,FRFAStarif_unique_1
FRFASE3310208,FRFAStarif_unique_1
FRFASE3310101,FRFAStarif_unique_1
FRFASE3322503,FRFAStarif_unique_1
FRFASE3310201,FRFAStarif_unique_1
FRFASE3309403,FRFAStarif_unique_1
