id_pdc_itinerance,id_tariff
FRIENE01160911,FRIENTARIFF_IECHARGE
FRIENE01160912,FRIENTARIFF_IECHARGE
FRIENE01160923,FRIENTARIFF_IECHARGE
FRIENE01160924,FRIENTARIFF_IECHARGE
FRIENE0047012,FRIENTARIFF_IECHARGE
FRIENE0047011,FRIENTARIFF_IECHARGE
FRIENE0047024,FRIENTARIFF_IECHARGE
FRIENE0063023,FRIENTARIFF_IECHARGE
FRIENE0047023,FRIENTARIFF_IECHARGE
FRIENE0095011,FRIENTARIFF_IECHARGE
FRIENE0080023,FRIENTARIFF_IECHARGE
FRIENE0075011,FRIENTARIFF_IECHARGE
FRIENE0040011,FRIENTARIFF_IECHARGE
FRIENE0095012,FRIENTARIFF_IECHARGE
FRIENE0095024,FRIENTARIFF_IECHARGE
FRIENE0063024,FRIENTARIFF_IECHARGE
FRIENE0103024,FRIENTARIFF_IECHARGE
FRIENE0095023,FRIENTARIFF_IECHARGE
FRIENE0080024,FRIENTARIFF_IECHARGE
FRIENE061011,FRIENTARIFF_IECHARGE
FRIENE0080012,FRIENTARIFF_IECHARGE
FRIENE0080011,FRIENTARIFF_IECHARGE
FRIENE0438024,FRIENTARIFF_IECHARGE
FRIENE0063012,FRIENTARIFF_IECHARGE
FRIENE0063011,FRIENTARIFF_IECHARGE
FRIENE0104023,FRIENTARIFF_IECHARGE
FRIENE0126013,FRIENTARIFF_IECHARGE
FRIENE0069023,FRIENTARIFF_IECHARGE
FRIENE0086012,FRIENTARIFF_IECHARGE
FRIENE0054024,FRIENTARIFF_IECHARGE
FRIENE0086011,FRIENTARIFF_IECHARGE
FRIENE0086024,FRIENTARIFF_IECHARGE
FRIENE0040023,FRIENTARIFF_IECHARGE
FRIENE0065024,FRIENTARIFF_IECHARGE
FRIENE0086023,FRIENTARIFF_IECHARGE
FRIENE061024,FRIENTARIFF_IECHARGE
FRIENE0115024,FRIENTARIFF_IECHARGE
FRIENE0115023,FRIENTARIFF_IECHARGE
FRIENE0103011,FRIENTARIFF_IECHARGE
FRIENE0115011,FRIENTARIFF_IECHARGE
FRIENE0054012,FRIENTARIFF_IECHARGE
FRIENE0115012,FRIENTARIFF_IECHARGE
FRIENE0042011,FRIENTARIFF_IECHARGE
FRIENE0075012,FRIENTARIFF_IECHARGE
FRIENE0075023,FRIENTARIFF_IECHARGE
FRIENE0057024,FRIENTARIFF_IECHARGE
FRIENE0052023,FRIENTARIFF_IECHARGE
FRIENE0075024,FRIENTARIFF_IECHARGE
FRIENE0040024,FRIENTARIFF_IECHARGE
FRIENE0040012,FRIENTARIFF_IECHARGE
FRIENE0130023,FRIENTARIFF_IECHARGE
FRIENE0076012,FRIENTARIFF_IECHARGE
FRIENE061012,FRIENTARIFF_IECHARGE
FRIENE0017012,FRIENTARIFF_IECHARGE
FRIENE0106023,FRIENTARIFF_IECHARGE
FRIENE061023,FRIENTARIFF_IECHARGE
FRIENE0023011,FRIENTARIFF_IECHARGE
FRIENE0078024,FRIENTARIFF_IECHARGE
FRIENE0054023,FRIENTARIFF_IECHARGE
FRIENE0012024,FRIENTARIFF_IECHARGE
FRIENE0054011,FRIENTARIFF_IECHARGE
FRIENE0065023,FRIENTARIFF_IECHARGE
FRIENE0042012,FRIENTARIFF_IECHARGE
FRIENE0127024,FRIENTARIFF_IECHARGE
FRIENE0097023,FRIENTARIFF_IECHARGE
FRIENE0042024,FRIENTARIFF_IECHARGE
FRIENE0014023,FRIENTARIFF_IECHARGE
FRIENE0042023,FRIENTARIFF_IECHARGE
FRIENE0078011,FRIENTARIFF_IECHARGE
FRIENE0023023,FRIENTARIFF_IECHARGE
FRIENE0065012,FRIENTARIFF_IECHARGE
FRIENE0023024,FRIENTARIFF_IECHARGE
FRIENE0057012,FRIENTARIFF_IECHARGE
FRIENE0023012,FRIENTARIFF_IECHARGE
FRIENE0038023,FRIENTARIFF_IECHARGE
FRIENE0117011,FRIENTARIFF_IECHARGE
FRIENE0065011,FRIENTARIFF_IECHARGE
FRIENE0129012,FRIENTARIFF_IECHARGE
FRIENE0121012,FRIENTARIFF_IECHARGE
FRIENE0057023,FRIENTARIFF_IECHARGE
FRIENE0109012,FRIENTARIFF_IECHARGE
FRIENE0099023,FRIENTARIFF_IECHARGE
FRIENE0057011,FRIENTARIFF_IECHARGE
FRIENE0078012,FRIENTARIFF_IECHARGE
FRIENE0126021,FRIENTARIFF_IECHARGE
FRIENE0114011,FRIENTARIFF_IECHARGE
FRIENE0129023,FRIENTARIFF_IECHARGE
FRIENE0137012,FRIENTARIFF_IECHARGE
FRIENE0129024,FRIENTARIFF_IECHARGE
FRIENE0102024,FRIENTARIFF_IECHARGE
FRIENE0131023,FRIENTARIFF_IECHARGE
FRIENE0058011,FRIENTARIFF_IECHARGE
FRIENE0129011,FRIENTARIFF_IECHARGE
FRIENE0098012,FRIENTARIFF_IECHARGE
FRIENE0052024,FRIENTARIFF_IECHARGE
FRIENE0104011,FRIENTARIFF_IECHARGE
FRIENE0098011,FRIENTARIFF_IECHARGE
FRIENE0069011,FRIENTARIFF_IECHARGE
FRIENE0104012,FRIENTARIFF_IECHARGE
FRIENE0088011,FRIENTARIFF_IECHARGE
FRIENE0104024,FRIENTARIFF_IECHARGE
FRIENE0094023,FRIENTARIFF_IECHARGE
FRIENE0049011,FRIENTARIFF_IECHARGE
FRIENE0021011,FRIENTARIFF_IECHARGE
FRIENE0103023,FRIENTARIFF_IECHARGE
