Location name,evse_id,spot_connector_id,tariff_id,src_id,id_pdc_itinerance
IONITY GmbH IONITY La Roche sur Yon,FR*IOY*E468503,126821948,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE468503
IONITY GmbH IONITY Mionnay Saint-Galmier,FR*IOY*E404001,126818651,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE404001
IONITY GmbH IONITY Corbières Nord,FR*IOY*E414811,126819388,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE414811
IONITY GmbH IONITY Mornas les Adrets,FR*IOY*E440407,126817828,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE440407
IONITY GmbH IONITY Mâcon Saint-Albain,FR*IOY*E403802,126821191,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE403802
IONITY GmbH IONITY Montmarault,FR*IOY*E474106,126823384,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE474106
IONITY GmbH IONITY Saint-Rambert Ouest,FR*IOY*E413003,126818347,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE413003
IONITY GmbH IONITY Villeneuve d'Ascq,FR*IOY*E493273,126827359,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE493273
IONITY GmbH IONITY Caussade,FR*IOY*E476174,126826316,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE476174
IONITY GmbH IONITY Dreux,FR*IOY*E487872,126825513,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE487872
IONITY GmbH IONITY Jura,FR*IOY*E408373,126822401,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE408373
IONITY GmbH IONITY Lauragais,FR*IOY*E469304,126822929,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE469304
IONITY GmbH IONITY Farebersviller,FR*IOY*E479007,126823845,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE479007
IONITY GmbH IONITY Jardin des arbres,FR*IOY*E415602,126819861,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE415602
IONITY GmbH IONITY Bergerac,FR*IOY*E475804,126824547,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE475804
IONITY GmbH IONITY Longvilliers,FR*IOY*E437806,126818546,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE437806
IONITY GmbH IONITY Rousset,FR*IOY*E409563,126817283,073d4d2df89a601815e7e0e93d185336,FR*ONHW*MC*ADHOC*001,FRIOYE409563
IONITY GmbH IONITY Longwy,FR*IOY*E478772,126825748,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE478772
IONITY GmbH IONITY Sarthe Nord,FR*IOY*E403351,126819603,073d4d2df89a601815e7e0e93d185336,FR*ONHW*MC*ADHOC*001,FRIOYE403351
IONITY GmbH IONITY Vivonne,FR*IOY*E481201,126823964,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE481201
IONITY GmbH IONITY Loire,FR*IOY*E421603,126816737,c4933ace33396494fba1ee863646b678,FR*ONHW*HPC*ADHOC*001,FRIOYE421603
IONITY GmbH IONITY Bessoncourt,FR*IOY*E473151,126825970,81d280a1973a7ff5c0fd737d946eb515,FR*MC*ADHOC*003,FRIOYE473151
IONITY GmbH IONITY Pamiers,FR*IOY*E446602,126818499,b72ec0df23f463bbaae88f2e116f616a,FR*HPC*ADHOC*003,FRIOYE446602
