id_pdc_itinerance,id_tariff
FRIOYE468503,DEIOYFR*HPC*ADHOC*003
FRIOYE404001,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE414811,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE440407,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE403802,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE474106,DEIOYFR*HPC*ADHOC*003
FRIOYE413003,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE493273,DEIOYFR*HPC*ADHOC*003
FRIOYE476174,DEIOYFR*HPC*ADHOC*003
FRIOYE487872,DEIOYFR*HPC*ADHOC*003
FRIOYE408373,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE469304,DEIOYFR*HPC*ADHOC*003
FRIOYE479007,DEIOYFR*HPC*ADHOC*003
FRIOYE415602,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE475804,DEIOYFR*HPC*ADHOC*003
FRIOYE437806,DEIOYFR*HPC*ADHOC*003
FRIOYE409563,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE478772,DEIOYFR*HPC*ADHOC*003
FRIOYE403351,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE481201,DEIOYFR*HPC*ADHOC*003
FRIOYE421603,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE473151,DEIOYFR*MC*ADHOC*003
FRIOYE446602,DEIOYFR*HPC*ADHOC*003
FRIOYE462251,DEIOYFR*MC*ADHOC*003
FRIOYE437853,DEIOYFR*MC*ADHOC*003
FRIOYE454555,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE437752,DEIOYFR*MC*ADHOC*003
FRIOYE440102,DEIOYFR*HPC*ADHOC*003
FRIOYE414902,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE101353,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE413151,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE432453,DEIOYFR*MC*ADHOC*003
FRIOYE409509,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE462705,DEIOYFR*HPC*ADHOC*003
FRIOYE453803,DEIOYFR*HPC*ADHOC*003
FRIOYE480602,DEIOYFR*HPC*ADHOC*003
FRIOYE403252,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE407801,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE435551,DEIOYFR*MC*ADHOC*003
FRIOYE453801,DEIOYFR*HPC*ADHOC*003
FRIOYE401901,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE409280,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE410305,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE451651,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE409706,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE408301,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE408306,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE462802,DEIOYFR*HPC*ADHOC*003
FRIOYE405203,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE469205,DEIOYFR*HPC*ADHOC*003
FRIOYE410206,DEIOYFR*HPC*ADHOC*003
FRIOYE412551,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE408372,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE483176,DEIOYFR*HPC*ADHOC*003
FRIOYE437803,DEIOYFR*HPC*ADHOC*003
FRIOYE413002,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE462701,DEIOYFR*HPC*ADHOC*003
FRIOYE451915,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE482903,DEIOYFR*HPC*ADHOC*003
FRIOYE431502,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE468504,DEIOYFR*HPC*ADHOC*003
FRIOYE447353,DEIOYFR*MC*ADHOC*003
FRIOYE408752,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE410271,DEIOYFR*ONHW*HPC*ADHOC*001
FRIOYE451652,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE404551,DEIOYFR*ONHW*MC*ADHOC*001
FRIOYE462706,DEIOYFR*HPC*ADHOC*003
FRIOYE402903,DEIOYFR*ONHW*HPC*ADHOC*001
