"id_point_de_charge";"tariff_id"
"FRGLYELYON3511";"LYON-my24kW"
"FRGLYELYON3521";"LYON-my24kW"
"FRGLYELYON3611";"LYON-my24kW"
"FRGLYELYON3621";"LYON-my24kW"
"FRGLYELYON3711";"LYON-my24kW"
"FRGLYELYON3721";"LYON-my24kW"
"FRGLYELYON3811";"LYON-my24kW"
"FRGLYELYON3821";"LYON-my24kW"
"FRGLYELYON3911";"LYON-my24kW"
"FRGLYELYON3921";"LYON-my24kW"
"FRGLYELYON4011";"LYON-my24kW"
"FRGLYELYON4021";"LYON-my24kW"
"FRGLYELYON4111";"LYON-my24kW"
"FRGLYELYON4121";"LYON-my24kW"
"FRGLYELYON4211";"LYON-my24kW"
"FRGLYELYON4221";"LYON-my24kW"
"FRGLYELYON4311";"LYON-my24kW"
"FRGLYELYON4321";"LYON-my24kW"
"FRGLYELYON4411";"LYON-my24kW"
"FRGLYELYON4421";"LYON-my24kW"
"FRGLYELYON4511";"LYON-my24kW"
"FRGLYELYON4521";"LYON-my24kW"
"FRGLYELYON4611";"LYON-my24kW"
"FRGLYELYON4621";"LYON-my24kW"
"FRGLYELYON4711";"LYON-my24kW"
"FRGLYELYON4721";"LYON-my24kW"
"FRGLYELYON5411";"LYON-my24kW"
"FRGLYELYON5421";"LYON-my24kW"
"FRGLYELYON5511";"LYON-my24kW"
"FRGLYELYON5521";"LYON-my24kW"
"FRGLYELYON5611";"LYON-my24kW"
"FRGLYELYON5621";"LYON-my24kW"
"FRGLYELYON6211";"LYON-my50kW"
"FRGLYELYON6611";"LYON-my50kW"
"FRGLYELYON7011";"LYON-my50kW"
"FRGLYELYON6711";"LYON-my24kW"
"FRGLYELYON6721";"LYON-my24kW"
"FRGLYELYON6811";"LYON-my24kW"
"FRGLYELYON6821";"LYON-my24kW"
"FRGLYELYON9811";"LYON-my24kW"
"FRGLYELYON9821";"LYON-my24kW"
"FRGLYELYON11811";"LYON-my24kW"
"FRGLYELYON11821";"LYON-my24kW"
"FRGLYELYON11911";"LYON-my24kW"
"FRGLYELYON11921";"LYON-my24kW"
"FRGLYELYON12011";"LYON-my24kW"
"FRGLYELYON12021";"LYON-my24kW"
"FRGLYELYON12111";"LYON-my24kW"
"FRGLYELYON12121";"LYON-my24kW"
"FRGLYELYON12211";"LYON-my24kW"
"FRGLYELYON12221";"LYON-my24kW"
"FRGLYELYON12311";"LYON-my24kW"
"FRGLYELYON12321";"LYON-my24kW"
"FRGLYELYON12411";"LYON-my24kW"
"FRGLYELYON12421";"LYON-my24kW"
"FRGLYELYON12911";"LYON-my24kW"
"FRGLYELYON12921";"LYON-my24kW"
"FRGLYELYON13011";"LYON-my24kW"
"FRGLYELYON13021";"LYON-my24kW"
"FRGLYELYON13111";"LYON-my24kW"
"FRGLYELYON13121";"LYON-my24kW"
"FRGLYELYON13211";"LYON-my24kW"
"FRGLYELYON13221";"LYON-my24kW"
"FRGLYELYON13311";"LYON-my24kW"
"FRGLYELYON13321";"LYON-my24kW"
"FRGLYELYON13411";"LYON-my24kW"
"FRGLYELYON13421";"LYON-my24kW"
"FRGLYELYON15611";"LYON-my24kW"
"FRGLYELYON15621";"LYON-my24kW"
"FRGLYELYON15711";"LYON-my24kW"
"FRGLYELYON15721";"LYON-my24kW"
"FRGLYELYON15811";"LYON-my24kW"
"FRGLYELYON15821";"LYON-my24kW"
"FRGLYELYON16611";"LYON-my50kW"
"FRGLYELYON17011";"LYON-my24kW"
"FRGLYELYON17021";"LYON-my24kW"
"FRGLYELYON17111";"LYON-my24kW"
"FRGLYELYON17121";"LYON-my24kW"
