Location name,evse_id,spot_connector_id,tariff_id,src_id
Milence Truck Charging Station Gondreville,FR*MIL*E000086*1,83132075,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Gondreville,FR*MIL*E000084*2,83132072,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Perpignan,FR*MIL*E000040*1,80565982,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Dunkirk Grande-Synthe,FR*MIL*E000109*2,92658186,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Saint-Witz,FR*MIL*E000157*1,104655474,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Malataverne,FR*MIL*E000081*2,82404297,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Béziers,FR*MIL*E000078*1,83246148,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Saint-Witz,FR*MIL*E000156*2,104655473,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Heudebouville,FR*MIL*E000005*2,67506617,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Heudebouville,FR*MIL*E000004*1,67506616,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Malataverne,FR*MIL*E000080*2,82404303,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Gevrey-Chambertin,FR*MIL*E000193*1,128080192,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Reims,FR*MIL*E000094*1,84713767,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Béziers,FR*MIL*E000078*2,83246149,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Mondeville,FR*MIL*E000119*2,87936342,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Béziers,FR*MIL*E000079*2,83246146,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Gondreville,FR*MIL*E000084*1,83132071,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Perpignan,FR*MIL*E000039*1,80565980,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Lille Lesquin,FR*MIL*E000107*1,87936361,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Perpignan,FR*MIL*E000041*2,80565985,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Lille Lesquin,FR*MIL*E000107*2,87936364,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Mondeville,FR*MIL*E000118*2,87936339,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Béziers,FR*MIL*E000079*1,83246144,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Heudebouville,FR*MIL*E000006*1,67506622,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Malataverne,FR*MIL*E000083*1,82404301,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Reims,FR*MIL*E000095*2,84713772,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Mondeville,FR*MIL*E000118*1,87936340,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Dunkirk Grande-Synthe,FR*MIL*E000111*2,92658190,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Béziers,FR*MIL*E000076*1,83246152,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Heudebouville,FR*MIL*E000003*1,67506613,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Heudebouville,FR*MIL*E000005*1,67506618,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Reims,FR*MIL*E000092*2,84713764,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Dunkirk Grande-Synthe,FR*MIL*E000108*2,92658182,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Reims,FR*MIL*E000095*1,84713769,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Gevrey-Chambertin,FR*MIL*E000192*2,128080189,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Saint-Witz,FR*MIL*E000156*1,104655472,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Gondreville,FR*MIL*E000085*2,83132074,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Reims,FR*MIL*E000092*1,84713760,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
Milence Truck Charging Station Béziers,FR*MIL*E000077*1,83246151,fe866ca69013d06f59668cc1e8fe836f,NLMILT000005
