id_pdc_itinerance,id_tariff
FRMILE0000861,NLMILNLMILT000005
FRMILE0000842,NLMILNLMILT000005
FRMILE0000401,NLMILNLMILT000005
FRMILE0001092,NLMILNLMILT000005
FRMILE0001571,NLMILNLMILT000005
FRMILE0000812,NLMILNLMILT000005
FRMILE0000781,NLMILNLMILT000005
FRMILE0001562,NLMILNLMILT000005
FRMILE0000052,NLMILNLMILT000005
FRMILE0000041,NLMILNLMILT000005
FRMILE0000802,NLMILNLMILT000005
FRMILE0001931,NLMILNLMILT000005
FRMILE0000941,NLMILNLMILT000005
FRMILE0000782,NLMILNLMILT000005
FRMILE0001192,NLMILNLMILT000005
FRMILE0000792,NLMILNLMILT000005
FRMILE0000841,NLMILNLMILT000005
FRMILE0000391,NLMILNLMILT000005
FRMILE0001071,NLMILNLMILT000005
FRMILE0000412,NLMILNLMILT000005
FRMILE0001072,NLMILNLMILT000005
FRMILE0001182,NLMILNLMILT000005
FRMILE0000791,NLMILNLMILT000005
FRMILE0000061,NLMILNLMILT000005
FRMILE0000831,NLMILNLMILT000005
FRMILE0000952,NLMILNLMILT000005
FRMILE0001181,NLMILNLMILT000005
FRMILE0001112,NLMILNLMILT000005
FRMILE0000761,NLMILNLMILT000005
FRMILE0000031,NLMILNLMILT000005
FRMILE0000051,NLMILNLMILT000005
FRMILE0000922,NLMILNLMILT000005
FRMILE0001082,NLMILNLMILT000005
FRMILE0000951,NLMILNLMILT000005
FRMILE0001922,NLMILNLMILT000005
FRMILE0001561,NLMILNLMILT000005
FRMILE0000852,NLMILNLMILT000005
FRMILE0000921,NLMILNLMILT000005
FRMILE0000771,NLMILNLMILT000005
FRMILE0001061,NLMILNLMILT000005
FRMILE0001062,NLMILNLMILT000005
FRMILE0001541,NLMILNLMILT000005
FRMILE0001932,NLMILNLMILT000005
FRMILE0001051,NLMILNLMILT000005
FRMILE0000801,NLMILNLMILT000005
FRMILE0000762,NLMILNLMILT000005
FRMILE0001921,NLMILNLMILT000005
FRMILE0001101,NLMILNLMILT000005
FRMILE0000411,NLMILNLMILT000005
FRMILE0000932,NLMILNLMILT000005
FRMILE0001191,NLMILNLMILT000005
FRMILE0001552,NLMILNLMILT000005
FRMILE0001052,NLMILNLMILT000005
FRMILE0000821,NLMILNLMILT000005
FRMILE0001551,NLMILNLMILT000005
FRMILE0001102,NLMILNLMILT000005
FRMILE0000032,NLMILNLMILT000005
FRMILE0000931,NLMILNLMILT000005
FRMILE0000822,NLMILNLMILT000005
FRMILE0001081,NLMILNLMILT000005
FRMILE0000811,NLMILNLMILT000005
FRMILE0001042,NLMILNLMILT000005
FRMILE0001162,NLMILNLMILT000005
FRMILE0001161,NLMILNLMILT000005
FRMILE0001572,NLMILNLMILT000005
FRMILE0000832,NLMILNLMILT000005
FRMILE0000392,NLMILNLMILT000005
FRMILE0001041,NLMILNLMILT000005
FRMILE0000871,NLMILNLMILT000005
FRMILE0000862,NLMILNLMILT000005
FRMILE0000772,NLMILNLMILT000005
FRMILE0000851,NLMILNLMILT000005
FRMILE0000042,NLMILNLMILT000005
FRMILE0000942,NLMILNLMILT000005
FRMILE0000062,NLMILNLMILT000005
FRMILE0001111,NLMILNLMILT000005
FRMILE0000872,NLMILNLMILT000005
FRMILE0001542,NLMILNLMILT000005
FRMILE0001172,NLMILNLMILT000005
FRMILE0001091,NLMILNLMILT000005
FRMILE0001171,NLMILNLMILT000005
FRMILE0000402,NLMILNLMILT000005
