ID_PDC_ITINERANCE,TARIFF_IDENTIFIER
FRWA2E4220946,FRSAST16057
FRGYMEC12309001,FRGRET16659
FRR3ME5282042,FRR3-T19129
FRGYMEC22309012,FRGRET16657
FRWA2E3527403,FRSAST16063
FRR3ME5574991,FRR3-T19541
FRGYMEC12311013,FRGRET16654
FRWA2E3732215,FRSAST15947
FRR3ME5405465,FRR3-T19721
FRR3ME4992383,FRR3-T18680
FRGYMEC22402007,FRGRET16645
FRR3ME5574289,FRR3-T19551
FRR3ME5551183,FRR3-T19395
FRR3ME5669678,FRR3-T20108
FRR3ME5284283,FRR3-T19112
FRR3ME5283370,FRR3-T19105
FRWA2E3711297,FRSAST19022
FRR3ME5574286,FRR3-T19550
FRR3ME5383016,FRR3-T19729
FRGYMEC22309014,FRGRET16659
FRR3ME5283875,FRR3-T19171
FRGYMEC22404005,FRGRET16645
FRGYMEC12311010,FRGRET16653
FRGYMEC22402004,FRGRET16663
FRR3ME5551789,FRR3-T19395
FRWA2E3756009,FRSAST15591
FRR3ME5002782,FRR3-T18677
FRR3ME5558784,FRR3-T19450
FRR3ME4992195,FRR3-T18679
FRR3ME5574248,FRR3-T19629
FRR3ME5002800,FRR3-T18685
FRR3ME5551993,FRR3-T19077
FRGYMEC22309003,FRGRET16660
FRR3ME5808018,FRR3-T24029
FRR3ME5383019,FRR3-T19729
FRR3ME5405956,FRR3-T19158
FRR3ME5556234,FRR3-T19427
FRWA2E4220405,FRSAST16054
FRR3ME5283958,FRR3-T19197
FRWA2E3756668,FRSAST16100
FRR3ME5288579,FRR3-T19462
FRWA2E3737118,FRSAST17534
FRGYMEC12404007,FRGRET16644
FRR3ME5239903,FRR3-T18780
FRR3ME5410977,FRR3-T19077
FRR3ME5283712,FRR3-T19169
FRWA2E3736960,FRSAST16074
FRR3ME5558902,FRR3-T19460
FRR3ME5551185,FRR3-T19395
FRR3ME5552169,FRR3-T18780
FRR3ME5283299,FRR3-T19105
FRR3ME5264396,FRR3-T18679
FRR3ME4992377,FRR3-T18679
FRR3ME5286800,FRR3-T19134
FRR3ME5551788,FRR3-T19425
FRGYMEC12309025,FRGRET16659
FRGYMEC22311008,FRGRET16654
FRR3ME5809844,FRR3-T22002
FRR3ME5001338,FRR3-T18676
FRR3ME5375575,FRR3-T19246
FRR3ME4992716,FRR3-T18673
FRR3ME5375577,FRR3-T19246
FRWA2E3485431,FRSAST16321
FRR3ME5283302,FRR3-T19105
FRR3ME5281973,FRR3-T19176
FRR3ME5575065,FRR3-T19526
FRR3ME5284089,FRR3-T19213
FRWA2E3492115,FRSAST16028
FRWA2E3733377,FRSAST16205
FRGYMEC22309002,FRGRET16657
FRWA2E4582012,FRSAST17245
FRGYME5394248,FRGRET16645
FRWA2E3632153,FRSAST16250
FRWA2E4640317,FRSAST16151
FRWA2E3792223,FRSAST16154
FRR3ME5288617,FRR3-T19204
FRGYMEC12311009,FRGRET16654
FRWA2E3756285,FRSAST16310
FRR3ME5264706,FRR3-T18676
FRWA2E3732149,FRSAST15947
FRWA2E3756321,FRSAST16086
FRWA2E3756350,FRSAST16077
FRGYME4860250,FRGRET16645
FRR3ME5287115,FRR3-T19134
FRR3ME5372136,FRR3-T19635
FRR3ME5552027,FRR3-T19077
FRR3ME5805115,FRR3-T22047
FRWA2E3736511,FRSAST16458
FRR3ME5283938,FRR3-T19197
FRR3ME5001093,FRR3-T18676
FRWA2E3737116,FRSAST17534
FRR3ME5405957,FRR3-T19158
FRR3ME5809794,FRR3-T21957
FRR3ME5373846,FRR3-T19077
FRWA2E4542315,FRSAST16068
FRGYME4528400,FRGRET16645
FRR3ME5372132,FRR3-T19635
FRR3ME5284267,FRR3-T19154
FRWA2E3586837,FRSAST16151
FRR3ME5372113,FRR3-T20746
FRGYMEC22403020,FRGRET16644
FRR3ME5572825,FRR3-T21999
FRWA2E3499752,FRSAST16030
FRWA2E4397218,FRSAST16697
FRGYMEC22311014,FRGRET16653
FRGYMEC22403018,FRGRET16645
FRGYMEC22403019,FRGRET16645
FRWA2E3792220,FRSAST16154
FRWA2E3746168,FRSAST15590
FRR3ME5575006,FRR3-T19526
FRWA2E3436137,FRSAST15583
FRGYMEC22311012,FRGRET16654
FRWA2E4220448,FRSAST16056
FRGYMEC12403037,FRGRET16644
FRR3ME5288590,FRR3-T19202
FRWA2E3756605,FRSAST16079
FRWA2E4221442,FRSAST16060
FRR3ME5556235,FRR3-T19427
FRR3ME5264402,FRR3-T18680
FRR3ME5406040,FRR3-T19721
FRWA2E3648356,FRSAST17311
FRR3ME5574243,FRR3-T19629
FRWA2E3736970,FRSAST17561
FRR3ME5574266,FRR3-T19519
FRR3ME5283545,FRR3-T19162
FRR3ME5284266,FRR3-T19154
FRR3ME5556152,FRR3-T18780
FRR3ME5572765,FRR3-T23516
FRR3ME4982875,FRR3-T18673
FRR3ME5282066,FRR3-T19103
FRWA2E4514569,FRSAST11821
FRR3ME5552160,FRR3-T19435
FRR3ME5374703,FRR3-T19245
FRR3ME5282045,FRR3-T19129
FRR3ME5265181,FRR3-T18676
FRR3ME5805117,FRR3-T22047
FRWA2E3525813,FRSAST16063
FRR3ME5808016,FRR3-T24029
FRR3ME5288493,FRR3-T19198
FRR3ME5281976,FRR3-T19176
FRR3ME4991735,FRR3-T18678
FRR3ME5551782,FRR3-T19425
FRR3ME5574244,FRR3-T19629
FRR3ME5283695,FRR3-T19172
FRR3ME5283878,FRR3-T19171
FRR3ME5574987,FRR3-T19526
FRR3ME5406410,FRR3-T18679
FRWA2E3756759,FRSAST16153
FRR3ME5575199,FRR3-T19525
FRR3ME4992722,FRR3-T18681
FRGYME4702081,FRGRET16645
FRGYMEC12309018,FRGRET16657
FRR3ME5373844,FRR3-T19077
FRR3ME5265245,FRR3-T18676
FRR3ME5559702,FRR3-T19549
FRR3ME5551270,FRR3-T19395
FRWA2E3485484,FRSAST16697
FRR3ME5283955,FRR3-T19197
FRR3ME5575244,FRR3-T19575
FRR3ME5371883,FRR3-T19077
FRWA2E3756667,FRSAST16100
FRR3ME5284110,FRR3-T19109
FRGYMEC12402001,FRGRET16661
FRWA2E3628550,FRSAST16711
FRR3ME5405965,FRR3-T19521
FRR3ME5281931,FRR3-T19149
FRR3ME5281970,FRR3-T19176
FRR3ME5551291,FRR3-T19395
FRR3ME5572761,FRR3-T23516
FRWA2E3755855,FRSAST16108
FRR3ME5373842,FRR3-T19077
FRR3ME4992385,FRR3-T18680
FRR3ME5556339,FRR3-T19465
FRGYMEC22404013,FRGRET16644
FRR3ME5559699,FRR3-T19548
FRR3ME5288592,FRR3-T19202
FRWA2E3755998,FRSAST16700
FRR3ME5552131,FRR3-T19426
FRR3ME5558602,FRR3-T19449
FRR3ME5283368,FRR3-T19105
FRWA2E4582022,FRSAST16109
FRR3ME5283572,FRR3-T19106
FRGYMEC12404012,FRGRET16644
FRWA2E4594209,FRSAST11821
FRWA2E4316557,FRSAST16714
FRWA2E3485946,FRSAST16026
FRR3ME5574267,FRR3-T19519
FRR3ME5574241,FRR3-T19629
FRR3ME5283977,FRR3-T19177
FRR3ME5283605,FRR3-T19126
FRR3ME5371903,FRR3-T19077
FRR3ME5551232,FRR3-T19425
FRGYME4860253,FRGRET16645
FRR3ME5283247,FRR3-T19150
FRGYMEC22311006,FRGRET16653
FRR3ME5556298,FRR3-T19465
FRR3ME5371905,FRR3-T19077
FRR3ME5575321,FRR3-T20930
FRWA2E3756008,FRSAST15591
FRR3ME5809792,FRR3-T21957
FRGYMEC22309010,FRGRET16660
FRWA2E3814808,FRSAST16095
FRR3ME5284154,FRR3-T19151
FRGYMEC12402004,FRGRET16663
FRR3ME5000807,FRR3-T18683
FRGYME4531921,FRGRET16644
FRR3ME5558641,FRR3-T19450
FRR3ME5560835,FRR3-T19545
FRR3ME5559755,FRR3-T19549
FRWA2E3814793,FRSAST20030
FRGYMEC12403021,FRGRET16645
