TARIFF_IDENTIFIER,COUNTRY_CODE,PARTY_ID,CURRENCY,TARIFF_TYPE,ELEMENTS,ENERGY_MIX,ALT_TEXT,MIN_PRICE,MAX_PRICE,TARIFF_ALT_URL,START_DATE_TIME,END_DATE_TIME,LAST_UPDATED
FRSAST16119,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.42, ""stepSize"": 1}]}, {""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""PARKING_TIME"", ""price"": 12, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:09:53.000
FRR3-T19465,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.46, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:37:58.000
FRR3-T19435,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.3, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:37:48.000
FRSAST15588,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.28, ""stepSize"": 1}]}, {""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""PARKING_TIME"", ""price"": 6, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 00:59:50.000
FRSAST16203,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.28, ""stepSize"": 1}]}, {""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""PARKING_TIME"", ""price"": 6, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:11:39.000
FRR3-T19162,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.46, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:35:31.000
FRSAST16154,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.28, ""stepSize"": 1}]}, {""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""PARKING_TIME"", ""price"": 6, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:10:36.000
FRR3-T18681,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.3, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:31:56.000
FRR3-T19203,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.46, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:35:53.000
FRSAST17307,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.42, ""stepSize"": 1}]}, {""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""PARKING_TIME"", ""price"": 12, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:22:41.000
FRGRET16660,DK,MON,EUR,,"[{""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""ENERGY"", ""price"": 0.5, ""stepSize"": 1}]}, {""restrictions"": null, ""priceComponents"": [{""vat"": 20.0, ""type"": ""FLAT"", ""price"": 0.5, ""stepSize"": 1}]}]",,,,,,,,2026-07-07 01:19:55.000
