Location name,evse_id,spot_connector_id,tariff_id,src_id
Aire de Service La Maxe - Autoroute A31,FR*PLN*EH003523*2,107472798,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
"Zac du, Rond-Point du Mas Rouma",FR*PLN*EH003095*3,95721456,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
Aire de Haut Forez Sud,FR*PLN*EH002126*3,98333045,6dd66b903857c8beb483a6e5eff9c565,c22287d4eb8140d785467ba0d6885855_16
"274, Avenue Joseph Gallieni",FR*PLN*EH001098*1,89210607,6dd66b903857c8beb483a6e5eff9c565,c22287d4eb8140d785467ba0d6885855_16
Les Grands Gougniots - 1 rue de Vandoeuvre,FR*PLN*EH003054*3,112175653,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
"Eni Station - 148,AVENUE DE LYON",FR*PLN*EH000883*1,76860698,6dd66b903857c8beb483a6e5eff9c565,c22287d4eb8140d785467ba0d6885855_16
Parc d’Activité Ecovert-Route de Vrigne-Meuse,FR*PLN*EH002990*3,105290087,6dd66b903857c8beb483a6e5eff9c565,c22287d4eb8140d785467ba0d6885855_16
Eni Station - 79 Route de Bischwiller,FR*PLN*EH000887*3,91688820,6dd66b903857c8beb483a6e5eff9c565,c22287d4eb8140d785467ba0d6885855_16
Haut Forez Nord - Autoroute A89,FR*PLN*EH002129*2,98332964,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
Eni Station - 79 Route de Bischwiller,FR*PLN*EH000887*2,91688819,6dd66b903857c8beb483a6e5eff9c565,c22287d4eb8140d785467ba0d6885855_16
Haut Forez Nord - Autoroute A89,FR*PLN*EH002218*3,98332940,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
Av. des Eaux Blanches,FR*PLN*EH002255*3,98332927,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
"Eni Station - Autoroute de la Maurienne, A43",FR*PLN*EH000743*2,59011845,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
20 route Nationale,FR*PLN*EH003258*3,116191056,6dd66b903857c8beb483a6e5eff9c565,c22287d4eb8140d785467ba0d6885855_16
Eni Station - 61 Av. de Genève,FR*PLN*EH000739*3,95446563,2ebde48380cea71e98303a4435b7282d,c22287d4eb8140d785467ba0d6885855_12
