id_pdc_itinerance,id_tariff
FRPLNEH0035232,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0030953,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0021263,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0010981,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0030543,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0008831,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0029903,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0008873,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0021292,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0008872,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0022183,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0022553,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0007432,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0032583,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0007393,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0008942,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0030572,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEE0081121,FRENIc22287d4eb8140d785467ba0d6885855_9
FRPLNEH0029901,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0011243,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0030521,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0011831,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0026581,FRENIc22287d4eb8140d785467ba0d6885855_10
FRPLNEH0030991,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0031022,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEE0077261,FRENIc22287d4eb8140d785467ba0d6885855_9
FRPLNEH0021121,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEE0080881,FRENIc22287d4eb8140d785467ba0d6885855_9
FRPLNEH0011552,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0032652,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0031473,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0009972,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0007332,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0007372,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0009971,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0030872,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0005943,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0011033,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0030843,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0015941,FRENIe11d9f9257dc455fbf47af8913eb26df_104
FRPLNEE0081551,FRENIc22287d4eb8140d785467ba0d6885855_9
FRPLNEH0010891,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0005601,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0007373,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0032332,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0030612,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0030961,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0015932,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0005363,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0005353,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0023352,FRENIc22287d4eb8140d785467ba0d6885855_14
FRPLNEH0029712,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0015962,FRENIe11d9f9257dc455fbf47af8913eb26df_104
FRPLNEH0005351,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0005492,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0021294,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0007423,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0032423,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0029801,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0030571,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0015981,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0015972,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0007391,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0005352,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0025992,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0008891,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0010712,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0022543,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0022541,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0010961,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0022153,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0022202,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0007403,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0008862,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEE0080882,FRENIc22287d4eb8140d785467ba0d6885855_9
FRPLNEH0018371,FRENIc22287d4eb8140d785467ba0d6885855_14
FRPLNEH0030973,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0015922,FRENIc22287d4eb8140d785467ba0d6885855_16
FRPLNEH0030473,FRENIc22287d4eb8140d785467ba0d6885855_12
FRPLNEH0029812,FRENIc22287d4eb8140d785467ba0d6885855_12
