id_station_itinerance,id_pdc_itinerance,puissance_nominale
FRALLPGO800756,FRALLEGO8007561,22.0
FRALDPFR00950,FRALDE104532,300.0
FRELCP12954264,FRELCEJWSG,300.0
FRLDLPLFR4063EVCP,FRLDLE00000723,22.0
FRPD1PMRFORG,FRPD1EMRFORGBBC0012,50.0
FRVIAP141123,FRVIAE20141123011,43.0
FRETIP80379A,FRETIE80379A11,150.0
FRHXWPMETADC,FRHXWEMETADC0061,7.0
FRVIAP161005,FRVIAE20161005022,400.0
FRTSLP33155,FRTSLE0DXV4C,250.0
FRVIAP142065,FRVIAE20142065023,22.0
FRLDLPLFR2956EVCP,FRLDLE00005245,22.0
FRIOYP13530970,FRIOYE413875,400.0
FRETIP80379A,FRETIE80379A12,150.0
FRLDLPLFR3541EVCP,FRLDLE00004133,120.0
FRETIP64122AA,FRETIE64122AA11,22.0
FRPD1PVALMOU,FRPD1EVALMOUTTN120012,120.0
FRZUNP8813050087046756891,FRZUNEFR8801ER03,400.0
FRPD1PINTJAR,FRPD1EINTJARBBC0013,200.0
FRLDLPLFR3541EVCP,FRLDLE00004134,120.0
FRPD1PITMJLM,FRPD1EITMJLMEKO601,50.0
FRPD1PBOUSUL,FRPD1EBOUSULKMP200011,100.0
FRPD1PFREREI,FRPD1EFREREIKPS017,150.0
FRELCP12954082,FRELCE2EV6,400.0
FRLDLPLFR4312EVCP,FRLDLE00006032,120.0
FRVIAP142065,FRVIAE20142065022,50.0
FRELCP12954423,FRELCEDSX8,400.0
FRELCP12954130,FRELCEZB56,22.0
FRTSLP30140,FRTSLE0CF30T,250.0
FRPD1PPDMTLS,FRPD1EPDMTLSKEMP50012,50.0
FRS77P77222001,FRS77E772220013,22.8
FRTCBP00954,FRTCBE005378,22.0
FRPD1PCORDIJ,FRPD1ECORDIJBBC031,200.0
FRALLPGO400011,FRALLEGO4000111,22.0
FREVZP06FCDB01E9514762871075667A869,FREVZEMIYU2,180.0
FRVIAP142021,FRVIAE20142021012,25.0
FRVIAP122069,FRVIAE20122069072,22.0
FRVIAP122069,FRVIAE20122069071,22.0
FRVIAP142021,FRVIAE20142021013,22.0
FRVIAP142021,FRVIAE20142021011,25.0
FRSE1PSE27PABA,FRSE1ESE27PABA2,22.0
FRELCP12954264,FRELCEY9RS,22.0
FRVIAP161005,FRVIAE20161005012,400.0
FRETIP80379A,FRETIE80379A13,100.0
FRLDLPLFR3238EVCP,FRLDLE00003677,120.0
FRPD1PITMPLS,FRPD1EITMPLSKPC200017,100.0
FRPD1PGMVGAN,FRPD1EGMVGANUFC200012,22.0
FRPD1PLCLPPP,FRPD1ELCLPPPKPS50013,22.0
FRALLPGO800758,FRALLEGO8007581,22.0
FRWGOPVVYYVEBDHVWNEE,FRWGOEEES3125,22.0
FRVIAP122042,FRVIAE12346030301,300.0
FRVIAP101102,FRVIAE10001205412,22.0
FRVIAP122042,FRVIAE12346030291,300.0
FRPD1PCTKLAG,FRPD1ECTKLAGKPC200015,50.0
FRPD1PMBRLLB,FRPD1EMBRLLBKPC200015,50.0
FRPD1PKFCVAL,FRPD1EKFCVALBB1000012,100.0
FRETIP80379A,FRETIE80379A14,100.0
FRPD1PLIDBRI,FRPD1ELIDBRIKPS200014,200.0
FRVIAP101102,FRVIAE10001231142,300.0
FRVIAP101102,FRVIAE10001180982,300.0
FRVIAP101102,FRVIAE10001231121,300.0
FRVIAP101102,FRVIAE10001180981,300.0
FRVIAP122042,FRVIAE12346329601,22.0
FRVIAP101102,FRVIAE10001180961,300.0
FRVIAP122042,FRVIAE12346329352,22.0
FRVIAP122042,FRVIAE12346030372,300.0
FRVIAP101102,FRVIAE10001231141,300.0
FRVIAP101102,FRVIAE10001181012,300.0
FRPD1PLECCHE,FRPD1ELECCHEALFD22072,22.0
FRVIAP101102,FRVIAE10001231122,300.0
FRPD1PZOCPZN,FRPD1EZOCPZNTTN120022,120.0
FRPD1PRETAZA,FRPD1ERETAZATTN120022,120.0
FRVIAP101102,FRVIAE10001180941,300.0
FRVIAP101102,FRVIAE10001181011,300.0
FRHPCPNF080183,FRHPCENF08018300,100.0
FRVIAP142065,FRVIAE20142065021,50.0
FRPD1PITMPMN,FRPD1EITMPMNALFD22012,22.0
FRETIP64122AA,FRETIE64122AA12,22.0
FRETIP64122AA,FRETIE64122AA13,22.0
FRS77P77222001,FRS77E772220014,22.8
FRALLPGO400009,FRALLEGO4000091,200.0
FRSE1PSE07SACA,FRSE1ESE07SACACP1,24.0
FRBMPP290386P500502896562180,FRBMPE7466,25.0
FRIOYP13530985,FRIOYE410403,350.0
FRELCPNICHC,FRELCEAHJP,22.0
FRETIP42218A,FRETIE42218A12,150.0
FRHXWPMETAMP,FRHXWEMETAMP0011,7.0
FRETIP80379A,FRETIE80379A15,22.0
FRVIAP122014,FRVIAE12346137262,22.0
FRALLPGO900877,FRALLEGO9008772,22.0
FRVIAP101103,FRVIAE20101103071,300.0
FRVIAP161005,FRVIAE20161005011,400.0
FRETIP44215C,FRETIE44215C11,22.0
FRPD1PCORVSL,FRPD1ECORVSLKPS200015,100.0
FRETIP44215C,FRETIE44215C12,22.0
FRPD1PCHAVAL,FRPD1ECHAVALBBC0013,200.0
FRTSLP1764,FRTSLE1IZ81X,250.0
FRPD1PPATLAN,FRPD1EPATLANTTN120021,120.0
FRPD1PBBFPRI,FRPD1EBBFPRITTN120022,120.0
FRPD1PMARFRE,FRPD1EMARFRETIT0021,120.0
FRPD1PMRBALS02,FRPD1EMRBALSTTN120012,108.0
FRPD1PGSTSTV,FRPD1EGSTSTVKPC50013,22.0
FRVIAP102109,FRVIAE10001301112,300.0
FRLDLPLFR0603EVCP,FRLDLE00004317,22.0
FRLDLPLFR4176EVCP,FRLDLE00006909,120.0
FRVIAP122084,FRVIAE20122084021,300.0
FRVIAP122084,FRVIAE20122084012,300.0
FRVIAP142101,FRVIAE20142101011,25.0
FRVIAP102109,FRVIAE10001301121,300.0
FRELCP12954181,FRELCE37TA,300.0
FRVIAP102109,FRVIAE10001301132,300.0
FRVIAP102109,FRVIAE10001301122,300.0
FRPD1PCORVSL,FRPD1ECORVSLKPS200012,180.0
FRLDLPLFR3238EVCP,FRLDLE00003678,120.0
FRELCP12954643,FRELCEJQLD,200.0
FRELCP12954106,FRELCE6RFG,400.0
FRELCP12954811,FRELCEBCZZ,300.0
FRPD1PBBFPRI,FRPD1EBBFPRITTN120011,108.0
FRALLPGO600009,FRALLEGO6000092,120.0
FRR3MP1030146,FRR3ME5285094,100.0
FRELCP12953885,FRELCEC8CT,150.0
FRMFCPMETZ,FRMFCEMETZ4,320.0
FRLDLPLFR3568EVCP,FRLDLE00000074,22.0
FRBMPP290386P500502896562180,FRBMPE2227,25.0
FRPD1PSYUMTB,FRPD1ESYUMTBKPS600016,200.0
FRVIAP161005,FRVIAE20161005052,50.0
FRETIP44215C,FRETIE44215C13,22.0
FRR3MP1071091,FRR3ME5405456,180.0
FRBMPP177488P50044796978010,FRBMPE4574,150.0
FRETIP13056B,FRETIE13056B11,180.0
FRPD1PBRTPGY,FRPD1EBRTPGYKPC200014,200.0
FRPD1PITMANN,FRPD1EITMANNEKAE60011,50.0
FRVIAP111102,FRVIAE20111102022,100.0
FRVIAP104114,FRVIAE12346033382,50.0
FRVIAP122084,FRVIAE20122084053,22.0
FRVIAP122084,FRVIAE20122084054,22.0
FRVIAP111102,FRVIAE20111102021,100.0
FRPD1PMATWTR,FRPD1EMATWTRKP0016,100.0
FRELCP12954658,FRELCEMMWM,300.0
FRVIAP104114,FRVIAE12346033383,22.0
FRVIAP122029,FRVIAE12346030832,300.0
FRVIAP122029,FRVIAE12346298561,22.0
FRVIAP122084,FRVIAE20122084031,300.0
FRVIAP122029,FRVIAE12346030811,300.0
FRVIAP104114,FRVIAE12346033381,90.0
FRVIAP104114,FRVIAE12346033501,300.0
FRVIAP122084,FRVIAE20122084041,300.0
FRELCP12954197,FRELCEZSXC,150.0
FRDRVPCRFMKT453301,FRDRVEACKU1,22.08
FRPD1PCCMLMM,FRPD1ECCMLMMBBC200012,50.0
FRETIP64122AA,FRETIE64122AA16,22.0
FRETIP34003E,FRETIE34003E12,22.0
FRA79P91000948,FRA79E12347143931,22.08
FRPD1PCORDIJ,FRPD1ECORDIJBBC013,200.0
FRPD1PETXORL,FRPD1EETXORLKPC200011,187.5
FRETIP78490A,FRETIE78490A14,22.0
FRZEEP89359112,FRZEEE10001163033,22.08
FRPLNP10525867,FRPLNEH0026582,50.0
FRALLPGO800859,FRALLEGO8008592,22.0
FRR3MP1091611,FRR3ME5556291,150.0
FRTSLP3319,FRTSLEA4Q4IG,150.0
FRPD1PBOUEPN,FRPD1EBOUEPNKMP200016,100.0
FRELCP12954178,FRELCEY4DE,600.0
FRELCPNICHC,FRELCEYVFX,300.0
FRPD1PITMRQF,FRPD1EITMRQFNOV240022,160.0
FRLDLPLFR4018EVCP,FRLDLE00005776,120.0
FRPD1PINTJAR,FRPD1EINTJARBBC0012,50.0
FRETIP68297E,FRETIE68297E81,7.0
FRPD1PESPSMO,FRPD1EESPSMOBBC200013,200.0
FRPD1PITMBEB,FRPD1EITMBEBKPC200012,160.0
FRVIAP161005,FRVIAE20161005021,400.0
FRVIAP104114,FRVIAE12346033452,300.0
FRVIAP101109,FRVIAE10001229621,300.0
FRVIAP122017,FRVIAE12346155302,22.0
FRVIAP101109,FRVIAE10001229572,300.0
FRVIAP101109,FRVIAE10001229632,300.0
FRVIAP122017,FRVIAE12346155292,22.0
FRPD1PGSTORG,FRPD1EGSTORGEKO60013,60.0
FRPD1PCORREI01,FRPD1ECORREIBBC054,200.0
FRPD1PHF1SRG,FRPD1EHF1SRGKPC200012,160.0
FRPD1PSYUMEC,FRPD1ESYUMECEKAE602,22.0
FRPD1PACTMRM,FRPD1EACTMRMKPC200012,160.0
FRVIAP101109,FRVIAE10001229622,300.0
FRVIAP122017,FRVIAE12346155301,22.0
FRVIAP101109,FRVIAE10001229612,300.0
FRVIAP142006,FRVIAE20142006012,22.0
FRVIAP142068,FRVIAE20142068012,50.0
FRVIAP142068,FRVIAE20142068013,22.0
FRBMPP140845P50096462605308,FRBMPE2531,150.0
FRPD1PITMRSA02,FRPD1EITMRSAKPS200013,100.0
FRPD1PMTIBJL,FRPD1EMTIBJLKPC50013,22.0
FRPD1PCRFPAA,FRPD1ECRFPAAUFC200011,100.0
FRR3MP1092105,FRR3ME5558868,150.0
FRBMPP87921P50096610424233,FRBMPE9258,24.0
FRPD1PCORFLE02,FRPD1ECORFLEUFC0022,22.0
FRPD1PBBFCOR,FRPD1EBBFCORTTN12011,120.0
FRPD1PSKTLNN,FRPD1ESKTLNNEFAQ45011,50.0
FRETIP64122AA,FRETIE64122AA17,2.299999952316284
FRIOYP13530848,FRIOYE440316,350.0
FRETIP44215C,FRETIE44215C14,22.0
FRPD1POPZWSH,FRPD1EOPZWSHKP100013,22.0
FRPD1PLCBSTH,FRPD1ELCBSTHEKAE120012,22.0
FRPD1PITMCON,FRPD1EITMCONUFC200024,100.0
FRPD1PMBRMAU,FRPD1EMBRMAUALF22021,22.0
FRETIP68297E,FRETIE68297E82,2.299999952316284
FRPD1PSYULGN02,FRPD1ESYULGNEKO60012,22.0
FRPD1PCORCBR,FRPD1ECORCBRKPS200017,50.0
FRPD1PINTFAI,FRPD1EINTFAIBBC0014,200.0
FRPD1PETXRVS,FRPD1EETXRVSALF011,22.0
FRPD1PLCLBLU,FRPD1ELCLBLUUFC200021,100.0
FRS50P50129005,FRS50E501290052,22.0
FRR3MP1070167,FRR3ME5405932,22.0
FRPD1PLSETRC,FRPD1ELSETRCBB0012,50.0
FRTSLP3319,FRTSLEA4QLSN,150.0
FRPD1PIBSGSA,FRPD1EIBSGSAKPS200011,50.0
FRPD1PITMCSD,FRPD1EITMCSDKPC50013,22.0
FRPD1PBSFRQV,FRPD1EBSFRQVALFS22011,22.0
FRETIP44215C,FRETIE44215C15,2.299999952316284
FRVIAP103111,FRVIAE10001319871,300.0
FRVIAP103111,FRVIAE10001170131,300.0
FRPD1PCORVSM,FRPD1ECORVSMKPS200015,100.0
FRPD1PMATLQN,FRPD1EMATLQNKP0011,200.0
FRQWTP24172000001,FRQWTE4412958,22.0
FRPD1PMARGAU,FRPD1EMARGACSTR0011,120.0
FRELCP12954397,FRELCEGQ3W,400.0
FRPD1PACCIBE,FRPD1EACCIBEKP200014,160.0
FRPD1PMONLAC,FRPD1EMONLACBBC200013,200.0
FRVIAP103111,FRVIAE10001170132,22.0
FRPD1PBSFRQV,FRPD1EBSFRQVKPC200011,200.0
FRPD1PCPNWOP,FRPD1ECPNWOPALFD22012,22.0
FRPD1PELCMTB,FRPD1EELCMTBKPC300013,220.0
FRVIAP103111,FRVIAE10001170143,300.0
FRVIAP103111,FRVIAE10001170141,300.0
FRVIAP122077,FRVIAE20122077041,300.0
FRPD1PCHASAI,FRPD1ECHASAIKP0012,200.0
FRBMPP523752P50058828836397,FRBMPE2014,240.0
FRZEEP89900710,FRZEEE10001487551,22.08
FRSE1PSE24SABA,FRSE1ESE24SABA2,22.0
FRVIAP161005,FRVIAE20161005092,50.0
FRVIAP142009,FRVIAE20142009013,22.0
FRVIAP101104,FRVIAE10001180741,300.0
FRVIAP101104,FRVIAE10001180771,300.0
FRVIAP101104,FRVIAE10001180801,300.0
FRVIAP101104,FRVIAE10001180802,300.0
FRVIAP101104,FRVIAE10001180751,300.0
FRVIAP101104,FRVIAE10001180742,300.0
FRR3MP1063571,FRR3ME5372112,22.0
FRVIAP101104,FRVIAE10001205381,50.0
FRBE3P22278005,FRBE3E222780051,22.08
FRTSLP3319,FRTSLEA4RJ7V,150.0
FRETIP47157B,FRETIE47157B11,180.0
FRIOYP13531042,FRIOYE413104,350.0
FRVIAP104106,FRVIAE10001456402,50.0
FRVIAP103111,FRVIAE10001170102,22.0
FRVIAP104102,FRVIAE12346219671,300.0
FRVIAP142009,FRVIAE20142009012,25.0
FRVIAP142009,FRVIAE20142009011,25.0
FRVIAP104106,FRVIAE10001453921,300.0
FRVIAP104102,FRVIAE12346219691,300.0
FRVIAP104106,FRVIAE10001453911,300.0
FRATLPPZ331FRODYSSE000002,FRATLE101741,22.0
FRVIAP104102,FRVIAE12346219722,300.0
FRVIAP104106,FRVIAE10001456401,60.0
FRVIAP122168,FRVIAE20122168021,300.0
FRVIAP104102,FRVIAE12346219663,22.0
FRVIAP104102,FRVIAE12346219672,300.0
FRVIAP104102,FRVIAE12346219732,300.0
FRVIAP104102,FRVIAE12346219692,300.0
FRVIAP104102,FRVIAE12346219721,300.0
FRVIAP104102,FRVIAE12346219652,50.0
FRLDLPLFR4122EVCP,FRLDLE00004651,180.0
FRS50P50218001,FRS50E504000012,22.0
FRELCP12953864,FRELCECG7R,225.0
FRELCP12953991,FRELCE6GJN,22.0
FRELCP12954235,FRELCEXCHS,150.0
FRPD1PSYUSMH,FRPD1ESYUSMHSLM100023,50.0
FRBMPP141314P50090530200436,FRBMPE4751,90.0
FRVIAP122239,FRVIAE20122239012,300.0
FRTSLP33155,FRTSLE0DXV3Y,250.0
FRGYMP735575,FRGYMEC12403016,22.0
FRPD1PNOVBGL,FRPD1ENOVBGLIES24012,22.0
FRVIAP122239,FRVIAE20122239021,300.0
FRVIAP161005,FRVIAE20161005041,50.0
FRPD1PCORSAR,FRPD1ECORSARKPC100014,100.0
FRPD1PIMCCMF,FRPD1EIMCCMFKPC200014,100.0
FRPD1PMRBALS01,FRPD1EMRBALSKMP200025,50.0
FRPD1PSYUAST,FRPD1ESYUASTKPC200013,100.0
FRLDLPLFR4049EVCP,FRLDLE00004444,22.0
FRPD1PCHANEU,FRPD1ECHANEUBBC0014,200.0
FRPD1PBDMCAR,FRPD1EBDMCARKPC600012,100.0
FRPD1PMBRMAU,FRPD1EMBCMAUBBC200024,200.0
FRPD1PIMCSEC,FRPD1EIMCSECEVBT50032,50.0
FRPD1PITMVVG,FRPD1EITMVVGUFC200012,22.0
FRVIAP122168,FRVIAE20122168031,300.0
FRVIAP122239,FRVIAE20122239011,300.0
FRVIAP122168,FRVIAE20122168051,22.0
FRVIAP122168,FRVIAE20122168042,300.0
FR3R3P89885401,FR3R3E10000849912,22.08
FRIOYP13531037,FRIOYE402102,350.0
FRTSLP1738,FRTSLE0CZRQY,150.0
FRPD1PCORBLO,FRPD1ECORBL0KPC200017,100.0
FRESEPS42218AB,FRESEE42218AB12,22.0
FRDREP754066,FRDREE4514729,22.0
FRELCP12954688,FRELCELZXY,300.0
FRSE1PSE44NABJ,FRSE1ESE44NABJ2,22.0
FRS50P5021850063312147292,FRS50E502180071,120.0
FRETIP47157B,FRETIE47157B13,180.0
FRPD1PSPUREZ,FRPD1ESPUREZDLT013,50.0
FRQWTP24172000001,FRQWTE4412957,22.0
FRSRGP90119560,FRSRGE12346052362,3.68
FRHPCPNF080232,FRHPCENF08023200,175.0
FRPD1PGRACHA,FRPD1EGRACHAUFC200023,100.0
FRELCP12953977,FRELCEHDUQ,150.0
FRIOYP13530896,FRIOYE454113,350.0
FRIOYP13530868,FRIOYE432409,350.0
FRPD1PSYSCOL,FRPD1ESYSCOLKP0021,50.0
FRESEPS42218AC,FRESEE42218AC11,22.0
FRVIAP101104,FRVIAE10001205382,22.0
FRVIAP101104,FRVIAE10001180721,300.0
FRVIAP161005,FRVIAE20161005032,400.0
