Location name,evse_id,spot_connector_id,tariff_id,src_id
Shell Aire de Bordeaux-Cestas Ouest A63,FR*SHE*E86*2,66988175,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Fenioux Est,FR*SHE*E94*4,67094770,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell AIRE DU HAUT-FOREZ NORD,FR*SHE*E216*2,64197625,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Chillou - Le Havre,FR*SHE*E301*1,62438479,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Clemenceau,FR*SHE*E327*1,126201966,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Sommesous HW,FR*SHE*E387*2,68534825,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de la sainte Victoire HW,FR*SHE*E77*2,55631724,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc SUD,FR*SHE*E177*3,66948785,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Roussillon,FR*SHE*E179*1,67010087,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Roussillon,FR*SHE*E180*3,67010092,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Fenioux Est,FR*SHE*E94*3,67094769,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell SAINT MICHEL DE RIEUFRET,FR*SHE*E90*1,66948726,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc NORD,FR*SHE*E164*2,67229936,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Clemenceau,FR*SHE*E326*2,126201964,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire d'Armor et d'Argoat - St Gilles,FR*SHE*E92*1,67833356,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell AIRE DES PLAINES DE BEAUCE,FR*SHE*E217*2,64197629,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell AIRE DE VAL-NEUVY,FR*SHE*E218*2,66461905,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Clemenceau,FR*SHE*E323*1,126201950,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire du Domaine d'Harcourt HW,FR*SHE*E80*3,66988168,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Béziers-Montblanc NORD,FR*SHE*E204*1,67229942,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell- France Aire de Rumaucourt HW,FR*SHE*E33*3,66988153,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Clemenceau,FR*SHE*E323*3,126201953,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Fenioux Est,FR*SHE*E95*3,67094773,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire d'Armor et d'Argoat - St Gilles,FR*SHE*E92*4,67833359,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Etretat Grand Val – Le Havre,FR*SHE*E13772*1,112569515,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Gonfreville L'O - Le Havre,FR*SHE*E405*3,68558836,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
Shell Aire de Roussillon,FR*SHE*E181*2,67010094,523b1eeb31e7cb114d8649820949d4aa,a48fe4c5a95c0cfde55ea68464991598
