id_pdc_itinerance,id_tariff
FRSHEE862,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE944,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3011,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3271,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3872,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE772,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1773,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1791,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1803,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE943,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE901,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1642,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3262,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE921,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3231,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE803,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2041,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE333,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3233,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE953,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE924,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4053,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1812,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE831,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE703,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE822,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3104,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1842,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE773,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3252,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3372,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE952,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE942,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE872,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3121,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1844,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1813,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE251,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE711,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2162,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3122,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3253,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2562,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE722,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE904,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2191,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3284,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1823,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2973,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3883,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE854,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3301,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE832,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE692,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2972,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1582,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE761,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1821,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE731,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE331,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE451,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1742,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3103,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE802,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1763,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1752,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1633,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1834,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE881,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE742,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2001,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2171,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2992,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE913,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3282,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2991,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE871,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE762,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3261,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3123,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3013,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3222,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3852,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE751,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4051,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE841,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1793,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE452,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1782,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1802,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1822,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE431,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE914,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3133,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE721,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3871,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2172,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE138512,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE322,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3131,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE138502,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1571,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3243,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1743,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3232,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1781,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3021,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE821,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE812,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3853,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1753,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1811,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3311,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3273,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1641,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3023,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3223,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2122,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1841,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE922,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4364,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE743,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1651,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1581,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE137741,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE782,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2563,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3851,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE861,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2561,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE912,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE911,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE791,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2211,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1653,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE882,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1751,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3111,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3861,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3291,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2993,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE138511,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2161,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3112,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE842,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3303,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3863,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE923,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3012,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE811,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE753,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3281,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1643,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1741,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE741,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3293,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3862,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE332,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1632,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1622,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1623,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1772,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE903,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1621,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE771,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE441,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1762,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1792,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE432,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE712,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3263,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE853,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE702,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE691,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE137731,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1783,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3101,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3313,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE454,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE6902,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3102,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE682,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3224,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2974,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE442,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2112,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4363,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1761,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4361,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE932,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1991,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1831,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE781,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3881,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1843,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3361,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3302,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1801,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2031,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3292,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3242,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1573,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE252,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE453,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2102,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3272,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE433,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE792,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2021,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3873,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE137721,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3251,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE804,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2111,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE931,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3241,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4362,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE704,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3882,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3221,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE852,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2181,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2212,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE801,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3283,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE941,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2121,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3022,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE701,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3113,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE851,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2011,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3362,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1652,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE752,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2192,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3371,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1631,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1583,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE6901,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4054,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1832,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE723,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2182,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE902,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE334,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE321,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE4052,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE951,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3132,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE954,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE3312,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE138501,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1833,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE681,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE814,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1572,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE1771,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2971,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2564,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE732,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE813,NLSHEa48fe4c5a95c0cfde55ea68464991598
FRSHEE2101,NLSHEa48fe4c5a95c0cfde55ea68464991598
