id_pdc_itinerance,id_tariff
FRTSLEA4QY2C,NLTSL5417f77a-e0c3-4360-90cf-e84873aa056e
FRTSLEA4T0JE,NLTSL5417f77a-e0c3-4360-90cf-e84873aa056e
FRTSLEA6K9GP,NLTSL5417f77a-e0c3-4360-90cf-e84873aa056e
FRTSLEA6LMC5,NLTSL5417f77a-e0c3-4360-90cf-e84873aa056e
FRTSLE0003DB,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE0003DF,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE0003DH,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE0003DJ,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE0003D5,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE0003D7,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE0003D9,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE00FYTM,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLEA4TDR3,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLEA4U684,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLEA6JNO4,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLEA6LJ2T,NLTSL521805b6-1c54-43a2-b3e8-5e97ab919dbc
FRTSLE9QG0YL,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9QG0YK,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9QG0YN,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9QG0YM,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RUYFC,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RV6QE,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RV8ES,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVATL,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVK6V,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVM8D,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVNT3,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVQ3S,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVSMC,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVVQZ,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVXV8,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLE9RVZUJ,NLTSLff9ac14d-4acd-489c-8b5d-b14e01cfc256
FRTSLEA4Q4IG,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4QLSN,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4QRJ6,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4R6G8,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4R7L5,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4RJ7V,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4RJPO,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4TRGC,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA4U7MG,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLEA6LV4M,NLTSLcde274c6-12dd-4701-8f86-8232f8113d7a
FRTSLE0006SQ,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLE0006SU,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLE0006SS,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLE0006SW,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA4R0Y1,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA4SF2J,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA4SFN3,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA4TV6L,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA6HGZ4,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA6I06G,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA6KCXZ,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLEA6LVNS,NLTSL8499ebed-0a7e-43f2-a4b3-aad652318d56
FRTSLE0XVMOR,NLTSLa4bceff3-5843-4575-bfad-a7377d7b5994
FRTSLE0XVMOQ,NLTSLa4bceff3-5843-4575-bfad-a7377d7b5994
FRTSLE0XVMOS,NLTSLa4bceff3-5843-4575-bfad-a7377d7b5994
FRTSLE0XVMQF,NLTSLa4bceff3-5843-4575-bfad-a7377d7b5994
