id_pdc_itinerance,id_tariff
FRV75EPX08046,#N/A
FRV75EPX08044,#N/A
FRV75EPX08045,#N/A
FRV75EPX08042,#N/A
FRV75EPX08043,#N/A
FRV75EPX08041,#N/A
FRV75ECL07016,#N/A
FRV75ECL07015,#N/A
FRV75ECL07018,#N/A
FRV75ECL07017,#N/A
FRV75ECL07019,#N/A
FRV75ECL07012,#N/A
FRV75ECL07011,#N/A
FRV75ECL07014,#N/A
FRV75ECL07013,#N/A
FRV75E9018013,#N/A
FRV75E9018012,#N/A
FRV75E9018011,#N/A
FRV75E9008011,#N/A
FRV75E9008013,#N/A
FRV75E9008012,#N/A
FRV75E9010031,#N/A
FRV75E9010032,#N/A
FRV75E9010033,#N/A
FRV75EPX10045,#N/A
FRV75EPX10042,#N/A
FRV75EPX10041,#N/A
FRV75EPX10044,#N/A
FRV75EPX10043,#N/A
FRV75EPX03056,#N/A
FRV75EPX03054,#N/A
FRV75EPX03055,#N/A
FRV75EPX03052,#N/A
FRV75EPX03053,#N/A
FRV75EPX03051,#N/A
FRV75E9001021,FR*V75_01_BOOST
FRV75E9001022,FR*V75_01_FLEX
FRV75E9001023,FR*V75_01_BOOST
FRV75E9001011,FR*V75_01_BOOST
FRV75E9001012,FR*V75_01_FLEX
FRV75E9001013,FR*V75_01_BOOST
FRV75E9002011,FR*V75_01_BOOST
FRV75E9002012,FR*V75_01_FLEX
FRV75E9002013,FR*V75_01_BOOST
FRV75E9002031,FR*V75_01_BOOST
FRV75E9002032,FR*V75_01_FLEX
FRV75E9002033,FR*V75_01_BOOST
FRV75E9002021,FR*V75_01_BOOST
FRV75E9002022,FR*V75_01_FLEX
FRV75E9002023,FR*V75_01_BOOST
FRV75E9003011,FR*V75_01_BOOST
FRV75E9003012,FR*V75_01_FLEX
FRV75E9003013,FR*V75_01_BOOST
FRV75E9005011,FR*V75_01_BOOST
FRV75E9005012,FR*V75_01_FLEX
FRV75E9005013,FR*V75_01_BOOST
FRV75E9005021,FR*V75_01_BOOST
FRV75E9005022,FR*V75_01_FLEX
FRV75E9005023,FR*V75_01_BOOST
FRV75E9004021,FR*V75_01_BOOST
FRV75E9004022,FR*V75_01_FLEX
FRV75E9004023,FR*V75_01_BOOST
FRV75E9005031,FR*V75_01_BOOST
FRV75E9005032,FR*V75_01_FLEX
FRV75E9005033,FR*V75_01_BOOST
FRV75E9007021,FR*V75_01_BOOST
FRV75E9007022,FR*V75_01_FLEX
FRV75E9007023,FR*V75_01_BOOST
FRV75E9006021,FR*V75_01_BOOST
FRV75E9006022,FR*V75_01_FLEX
FRV75E9006023,FR*V75_01_BOOST
FRV75E9006031,FR*V75_01_BOOST
FRV75E9006032,FR*V75_01_FLEX
FRV75E9006033,FR*V75_01_BOOST
FRV75E9006041,FR*V75_01_BOOST
FRV75E9006042,FR*V75_01_FLEX
FRV75E9006043,FR*V75_01_BOOST
FRV75E9007011,FR*V75_01_BOOST
FRV75E9007012,FR*V75_01_FLEX
FRV75E9007013,FR*V75_01_BOOST
FRV75E9007031,FR*V75_01_BOOST
FRV75E9007032,FR*V75_01_FLEX
FRV75E9007033,FR*V75_01_BOOST
FRV75E9007041,FR*V75_01_BOOST
FRV75E9007042,FR*V75_01_FLEX
FRV75E9007043,FR*V75_01_BOOST
FRV75E9007061,FR*V75_01_BOOST
FRV75E9007062,FR*V75_01_FLEX
FRV75E9007063,FR*V75_01_BOOST
FRV75E9007051,FR*V75_01_BOOST
FRV75E9007052,FR*V75_01_FLEX
FRV75E9007053,FR*V75_01_BOOST
FRV75E9008031,FR*V75_01_BOOST
FRV75E9008032,FR*V75_01_FLEX
FRV75E9008033,FR*V75_01_BOOST
FRV75E9008021,FR*V75_01_BOOST
FRV75E9008022,FR*V75_01_FLEX
FRV75E9008023,FR*V75_01_BOOST
FRV75E9008041,FR*V75_01_BOOST
FRV75E9008042,FR*V75_01_FLEX
FRV75E9008043,FR*V75_01_BOOST
FRV75E9009011,FR*V75_01_BOOST
FRV75E9009012,FR*V75_01_FLEX
FRV75E9009013,FR*V75_01_BOOST
FRV75E9010011,FR*V75_01_BOOST
FRV75E9010012,FR*V75_01_FLEX
FRV75E9010013,FR*V75_01_BOOST
FRV75E9011021,FR*V75_01_BOOST
FRV75E9011022,FR*V75_01_FLEX
FRV75E9011023,FR*V75_01_BOOST
FRV75E9011011,FR*V75_01_BOOST
FRV75E9011012,FR*V75_01_FLEX
FRV75E9011013,FR*V75_01_BOOST
FRV75E9010021,FR*V75_01_BOOST
FRV75E9010022,FR*V75_01_FLEX
FRV75E9010023,FR*V75_01_BOOST
FRV75E9011031,FR*V75_01_BOOST
FRV75E9011032,FR*V75_01_FLEX
FRV75E9011033,FR*V75_01_BOOST
FRV75E9011041,FR*V75_01_BOOST
FRV75E9011042,FR*V75_01_FLEX
FRV75E9011043,FR*V75_01_BOOST
FRV75E9012011,FR*V75_02_BOOST
FRV75E9012012,FR*V75_02_FLEX
FRV75E9012013,FR*V75_02_BOOST
FRV75E9012021,FR*V75_02_BOOST
FRV75E9012022,FR*V75_02_FLEX
FRV75E9012023,FR*V75_02_BOOST
FRV75E9012031,FR*V75_02_BOOST
FRV75E9012032,FR*V75_02_FLEX
FRV75E9012033,FR*V75_02_BOOST
FRV75E9012041,#N/A
FRV75E9012042,#N/A
FRV75E9012043,#N/A
FRV75E9012051,FR*V75_02_BOOST
FRV75E9012052,FR*V75_02_FLEX
FRV75E9012053,FR*V75_02_BOOST
FRV75E9012071,FR*V75_02_BOOST
FRV75E9012072,FR*V75_02_FLEX
FRV75E9012073,FR*V75_02_BOOST
FRV75E9012061,FR*V75_02_BOOST
FRV75E9012062,FR*V75_02_FLEX
FRV75E9012063,FR*V75_02_BOOST
FRV75E9012081,FR*V75_02_BOOST
FRV75E9012082,FR*V75_02_FLEX
FRV75E9012083,FR*V75_02_BOOST
FRV75E9013011,FR*V75_02_BOOST
FRV75E9013012,FR*V75_02_FLEX
FRV75E9013013,FR*V75_02_BOOST
