id_pdc_itinerance,id_tariff
FRV75E9001021,FRTCBFR*V75_01_BOOST
FRV75E9001022,FRTCBFR*V75_01_FLEX
FRV75E9001023,FRTCBFR*V75_01_BOOST
FRV75E9001011,FRTCBFR*V75_01_BOOST
FRV75E9001012,FRTCBFR*V75_01_FLEX
FRV75E9001013,FRTCBFR*V75_01_BOOST
FRV75E9002011,FRTCBFR*V75_01_BOOST
FRV75E9002012,FRTCBFR*V75_01_FLEX
FRV75E9002013,FRTCBFR*V75_01_BOOST
FRV75E9002031,FRTCBFR*V75_01_BOOST
FRV75E9002032,FRTCBFR*V75_01_FLEX
FRV75E9002033,FRTCBFR*V75_01_BOOST
FRV75E9002021,FRTCBFR*V75_01_BOOST
FRV75E9002022,FRTCBFR*V75_01_FLEX
FRV75E9002023,FRTCBFR*V75_01_BOOST
FRV75E9003011,FRTCBFR*V75_01_BOOST
FRV75E9003012,FRTCBFR*V75_01_FLEX
FRV75E9003013,FRTCBFR*V75_01_BOOST
FRV75E9005011,FRTCBFR*V75_01_BOOST
FRV75E9005012,FRTCBFR*V75_01_FLEX
FRV75E9005013,FRTCBFR*V75_01_BOOST
FRV75E9005021,FRTCBFR*V75_01_BOOST
FRV75E9005022,FRTCBFR*V75_01_FLEX
FRV75E9005023,FRTCBFR*V75_01_BOOST
FRV75E9004021,FRTCBFR*V75_01_BOOST
FRV75E9004022,FRTCBFR*V75_01_FLEX
FRV75E9004023,FRTCBFR*V75_01_BOOST
FRV75E9005031,FRTCBFR*V75_01_BOOST
FRV75E9005032,FRTCBFR*V75_01_FLEX
FRV75E9005033,FRTCBFR*V75_01_BOOST
FRV75E9007021,FRTCBFR*V75_01_BOOST
FRV75E9007022,FRTCBFR*V75_01_FLEX
FRV75E9007023,FRTCBFR*V75_01_BOOST
FRV75E9006021,FRTCBFR*V75_01_BOOST
FRV75E9006022,FRTCBFR*V75_01_FLEX
FRV75E9006023,FRTCBFR*V75_01_BOOST
FRV75E9006031,FRTCBFR*V75_01_BOOST
FRV75E9006032,FRTCBFR*V75_01_FLEX
FRV75E9006033,FRTCBFR*V75_01_BOOST
FRV75E9006041,FRTCBFR*V75_01_BOOST
FRV75E9006042,FRTCBFR*V75_01_FLEX
FRV75E9006043,FRTCBFR*V75_01_BOOST
FRV75E9007011,FRTCBFR*V75_01_BOOST
FRV75E9007012,FRTCBFR*V75_01_FLEX
FRV75E9007013,FRTCBFR*V75_01_BOOST
FRV75E9007031,FRTCBFR*V75_01_BOOST
FRV75E9007032,FRTCBFR*V75_01_FLEX
FRV75E9007033,FRTCBFR*V75_01_BOOST
FRV75E9007041,FRTCBFR*V75_01_BOOST
FRV75E9007042,FRTCBFR*V75_01_FLEX
FRV75E9007043,FRTCBFR*V75_01_BOOST
FRV75E9007061,FRTCBFR*V75_01_BOOST
FRV75E9007062,FRTCBFR*V75_01_FLEX
FRV75E9007063,FRTCBFR*V75_01_BOOST
FRV75E9007051,FRTCBFR*V75_01_BOOST
FRV75E9007052,FRTCBFR*V75_01_FLEX
FRV75E9007053,FRTCBFR*V75_01_BOOST
FRV75E9008031,FRTCBFR*V75_01_BOOST
FRV75E9008032,FRTCBFR*V75_01_FLEX
FRV75E9008033,FRTCBFR*V75_01_BOOST
FRV75E9008021,FRTCBFR*V75_01_BOOST
FRV75E9008022,FRTCBFR*V75_01_FLEX
FRV75E9008023,FRTCBFR*V75_01_BOOST
