id_pdc_itinerance,id_tariff
FRVIAE20142102013,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142102012,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142102011,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142020012,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142020011,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12346449202,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE12346449201,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE12346036052,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12346036051,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142025012,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142025011,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142092012,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142092011,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345949353,FRVIAd57690eb-0476-4bdf-862a-4fd2da26302f
FRVIAE12345949352,FRVIAd57690eb-0476-4bdf-862a-4fd2da26302f
FRVIAE12345949351,FRVIAd57690eb-0476-4bdf-862a-4fd2da26302f
FRVIAE20122077072,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20122077071,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE10001486094,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE10001486093,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE10001486092,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE10001486091,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE12346438466,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12346438465,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12346438464,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12346438463,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12346438462,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12346438461,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20123014032,FRVIAe9a95d1a-7f0c-49b8-a860-4f450bce162c
FRVIAE20123014031,FRVIAe9a95d1a-7f0c-49b8-a860-4f450bce162c
FRVIAE20142081012,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142081011,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142107023,FRVIA64cfd72818304ee28d3a875aef64d31b
FRVIAE20142107022,FRVIA64cfd72818304ee28d3a875aef64d31b
FRVIAE20142107021,FRVIA64cfd72818304ee28d3a875aef64d31b
FRVIAE20142037023,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142037022,FRVIA64cfd72818304ee28d3a875aef64d31b
FRVIAE20142037021,FRVIA64cfd72818304ee28d3a875aef64d31b
FRVIAE10001208432,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE10001208431,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345963474,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE12345963473,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE12345963472,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE12345963471,FRVIA9ce4a9d0-ef0d-4bd5-a61c-f36a35f666b6
FRVIAE10001208402,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE10001208401,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955444,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955443,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955442,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955441,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955669,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955668,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955667,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955666,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955665,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955664,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955663,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955662,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE123459556610,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE12345955661,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142060013,FRVIA1b4c8df3140c49899a53d6c614ef431e
FRVIAE20142060012,FRVIA1b4c8df3140c49899a53d6c614ef431e
