id_station_itinerance,id_pdc_itinerance,operateur,longitude,latitude
FRTSLP30234,FRTSLE0DLDX1,Tesla,49.60275,49.60275
FRTSLP30234,FRTSLE0DLDWN,Tesla,49.60275,49.60275
FRTSLP30234,FRTSLE0DLDWP,Tesla,49.60275,49.60275
FRTSLP30234,FRTSLE0DLDWR,Tesla,49.60275,49.60275
FRTSLP30234,FRTSLE0DLDWT,Tesla,49.60275,49.60275
FRTSLP30234,FRTSLE0DLDWV,Tesla,49.60275,49.60275
FRTSLP17341,FRTSLE0004W5,Tesla,48.053197,48.053197
FRTSLP10702,FRTSLE0003YA,Tesla,45.693058,45.693058
FRTSLP10702,FRTSLE0003Y4,Tesla,45.693058,45.693058
FRTSLP30234,FRTSLE0DLDWX,Tesla,49.60275,49.60275
FRTSLP30234,FRTSLE0DLDWZ,Tesla,49.60275,49.60275
FRTSLP1732,FRTSLE0003Y7,Tesla,46.346796,46.346796
FRTSLP27522,FRTSLE0DBETS,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0DBEZ1,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0CGO49,Tesla,45.895509,45.895509
FRTSLP1734,FRTSLE00V7YS,Tesla,45.593224,45.593224
FRTSLP1734,FRTSLE00V7YT,Tesla,45.593224,45.593224
FRTSLP1734,FRTSLE00V7YU,Tesla,45.593224,45.593224
FRTSLP1734,FRTSLE00V7YVTESTAP,Tesla,45.593224,45.593224
FRTSLP27522,FRTSLE0CGO2J,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0CGO31,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0CGO3J,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0DBETQ,Tesla,45.895509,45.895509
FRTSLP1755,FRTSLE00V639,Tesla,47.782546,47.782546
FRTSLP1755,FRTSLE00V63A,Tesla,47.782546,47.782546
FRTSLP27522,FRTSLE0DBEVM,Tesla,45.895509,45.895509
FRTSLP1755,FRTSLE00V636,Tesla,47.782546,47.782546
FRTSLP1755,FRTSLE00V637,Tesla,47.782546,47.782546
FRTSLP1755,FRTSLE00V638,Tesla,47.782546,47.782546
FRTSLP1755,FRTSLE00V63B,Tesla,47.782546,47.782546
FRTSLP1755,FRTSLE00V63C,Tesla,47.782546,47.782546
FRTSLP1755,FRTSLE00V635,Tesla,47.782546,47.782546
FRTSLP27522,FRTSLE0CGO2F,Tesla,45.895509,45.895509
FRTSLP1725,FRTSLE01ESFN,Tesla,49.16423,49.16423
FRTSLP27522,FRTSLE0CGO3X,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0CGO5B,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0CGORB,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0DBETO,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0DBEX2,Tesla,45.895509,45.895509
FRTSLP29508,FRTSLE0005F5,Tesla,45.877092,45.877092
FRTSLP29508,FRTSLE0005EZ,Tesla,45.877092,45.877092
FRTSLP29508,FRTSLE0005F3,Tesla,45.877092,45.877092
FRTSLP1722,FRTSLE00QMI0,Tesla,43.493819,43.493819
FRTSLP1722,FRTSLE00QMHT,Tesla,43.493819,43.493819
FRTSLP1722,FRTSLE00QMHU,Tesla,43.493819,43.493819
FRTSLP1722,FRTSLE00QMHV,Tesla,43.493819,43.493819
FRTSLP1722,FRTSLE00QMHW,Tesla,43.493819,43.493819
FRTSLP1722,FRTSLE00QMHX,Tesla,43.493819,43.493819
FRTSLP1722,FRTSLE00QMHY,Tesla,43.493819,43.493819
FRTSLP1722,FRTSLE00QMHZ,Tesla,43.493819,43.493819
FRTSLP27522,FRTSLE0DBF17,Tesla,45.895509,45.895509
FRTSLP1734,FRTSLE0003CT,Tesla,45.593224,45.593224
FRTSLP1734,FRTSLE0003CV,Tesla,45.593224,45.593224
FRTSLP1734,FRTSLE0003CX,Tesla,45.593224,45.593224
FRTSLP1725,FRTSLE00V7FQ,Tesla,49.16423,49.16423
FRTSLP1725,FRTSLE00V7FS,Tesla,49.16423,49.16423
FRTSLP1725,FRTSLE00V7FT,Tesla,49.16423,49.16423
FRTSLP1725,FRTSLE00V7FV,Tesla,49.16423,49.16423
FRTSLP1725,FRTSLE00V7FY,Tesla,49.16423,49.16423
FRTSLP1725,FRTSLE00V7FZ,Tesla,49.16423,49.16423
FRTSLP1725,FRTSLE00V7FP,Tesla,49.16423,49.16423
FRTSLP1725,FRTSLE00V7FR,Tesla,49.16423,49.16423
FRTSLP17341,FRTSLE0004WN,Tesla,48.053197,48.053197
FRTSLP27522,FRTSLE0CGO2T,Tesla,45.895509,45.895509
FRTSLP27522,FRTSLE0CGO36,Tesla,45.895509,45.895509
FRTSLP30254,FRTSLE0005GR,Tesla,47.32476,47.32476
FRTSLP30254,FRTSLE0005GX,Tesla,47.32476,47.32476
FRTSLP33831,FRTSLE0CGDUH,Tesla,50.73346,50.73346
FRTSLP33831,FRTSLE0CGE0V,Tesla,50.73346,50.73346
FRTSLP33831,FRTSLE0CGE11,Tesla,50.73346,50.73346
FRTSLP3319,FRTSLE00QM0W,Tesla,46.496391,46.496391
FRTSLP3319,FRTSLE00QM0Y,Tesla,46.496391,46.496391
FRTSLP3319,FRTSLE00QM16,Tesla,46.496391,46.496391
FRTSLP3319,FRTSLE00QM19,Tesla,46.496391,46.496391
FRTSLP3319,FRTSLE00QM1A,Tesla,46.496391,46.496391
FRTSLP3319,FRTSLE00QM1B,Tesla,46.496391,46.496391
FRTSLP3319,FRTSLE00QM0X,Tesla,46.496391,46.496391
FRTSLP3319,FRTSLE00QM10,Tesla,46.496391,46.496391
