,name,description,example,type,constraints,format
0,nom_amenageur,"La dénomination sociale du nom de l'aménageur, c'est à dire de l'entité publique ou privée propriétaire des infrastructures. Vous pouvez accéder à cette dénomination exacte sur le site annuaire-entreprises.data.gouv.fr. Ce champs n'est pas obligatoire car il sera automatiquement renseigné lors de la constitution du fichier global de consolidation des IRVE.","Société X, Entité Y",string,{'required': False},
1,siren_amenageur,Le numero SIREN de l'aménageur issue de la base SIRENE des entreprises. Vous pouvez récupérer cet identifiant sur le site annuaire-entreprises.data.gouv.fr.,130025265,string,"{'required': False, 'pattern': '^\\d{9}$'}",
2,contact_amenageur,Adresse courriel de l'aménageur. Favoriser les adresses génériques de contact. Cette adresse sera utilisée par les services de l'Etat en cas d'anomalie ou de besoin de mise à jour des données.,contact@societe-amenageur.com,string,{'required': False},email
3,nom_operateur,La dénomination sociale de l'opérateur. L'opérateur est la personne qui exploite l'infrastructure de recharger pour le compte d'un aménageur dans le cadre d'un contrat ou pour son propre compte s'il est l'aménageur. Vous pouvez accéder à cette dénomination exacte sur le site annuaire-entreprises.data.gouv.fr.,"Société X, Entité Y",string,{'required': False},
4,contact_operateur,Adresse courriel de l'opérateur. Favoriser les adresses génériques de contact.,contact@societe-operateur.com,string,{'required': True},email
5,telephone_operateur,Numéro de téléphone permettant de contacter l'opérateur.,0111111111,string,{'required': False},
6,nom_enseigne,Le nom commercial du réseau.,Réseau de recharge ABC,string,{'required': True},
7,id_station_itinerance,"L'identifiant de la station délivré selon les modalités définies à l'article 10 du décret n° 2017-26 du 12 janvier 2017. Cet ID débute par FR suivi de 3 caractères délivrés par l'AFIREV, suivi de ""P"" pour ""pool"" qui veut dire ""station"" en anglais (https://afirev.fr/fr/informations-generales/). Ne pas ajouter les séparateurs *. Si la station n'est pas en itinérance, merci d'indiquer ""Non concerné"".",FRA68P68021001,string,"{'required': True, 'pattern': '(?:(?:^|,)(^[A-Z]{2}[A-Z0-9]{4,33}$|Non concerné))+$'}",
8,id_station_local,"Identifiant de la station utilisé localement. Si vous n'avez pas d'identifiant unique et que vous souhaitez en récupérer un, vous pouvez vous rendre sur https://heidi.app.etalab.studio. En cas de station qui n'est pas ouverte à l'itinérance, cet identifiant est indispensable.",01F2KMMRZVQ5FQY882PCJQAPQ0,string,{'required': False},
9,nom_station,Le nom de la station.,"Picpus, Belleville, Villiers",string,{'required': True},
