,index,nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,non_concerne
102248,103134,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE00037X,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102249,103135,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE00037Z,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102250,103136,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE000381,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102251,103137,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE000383,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102252,103138,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE000385,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102253,103139,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE000387,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102254,103140,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE000389,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102255,103141,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP1755,1755,"Mulhouse, France",Station dédiée à la recharge rapide,"26 Route Départementale 201, 68390 Sausheim",68300,"[7.388186, 47.782002]",8,FRSTLE00038B,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50032381495598,2015-07-22,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,7.388186,47.782002,68390,Sausheim,True,True,False
102256,103142,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP3305,3305,"Pau, France",Station dédiée à la recharge rapide,"2 rue suzanne lenglen, 64000 Pau ",64445,"[-0.358762, 43.332257]",8,FRSTLE0003G3,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50045980857926,2017-06-15,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,-0.358762,43.332257,64000,Pau,True,True,False
102257,103143,TESLA France SARL,524335262,charging-france@tesla.com,TESLA France SARL,charging-france@tesla.com,0970732103,TESLA France SARL,FRTSLP3305,3305,"Pau, France",Station dédiée à la recharge rapide,"2 rue suzanne lenglen, 64000 Pau ",64445,"[-0.358762, 43.332257]",8,FRSTLE0003G5,,250,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,restriction gabarit inconnue,FALSE,Direct,50045980857926,2017-06-15,Station dédiée à la recharge rapide,2024-11-20,,2024-11-26T15:11:45.849000+00:00,62ea8cd6af9f2e745fa84023,9a53f96f-9bb7-4d94-9687-4c8525dea018,tesla-motors,2023-12-14T11:38:33.809000+00:00,-0.358762,43.332257,64000,Pau,True,True,False
