created_at,updated_at,id,adresse_station,code_insee_commune,coordonneesxy
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",25b90848-385d-4cdd-b521-14d807a59c84,"3 avenue irene joliot curie, 77700 Bailly-romainvilliers",77018,"[2.798854,48.841032]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",086e1cdb-f46e-4bcc-888e-3f6d85f3c1d0,211 Av. Jules Brame  59100 Roubaix,59512,"[3.207306,50.684918]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",f853e3c7-2a7c-400c-914f-c4f5dc034b9a,[36 avenue des Marais][74350][Allonzier-la-Caille],,"[6.123984,45.996537]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",72b1a032-17df-424d-beeb-6af6e4ac63ce,[10 Rue de la Bouverie][74600][Seynod],,"[6.111914,45.881672]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",1aacc7b4-4e7e-4609-bae3-04da67540f6c,[Rue des Glières][74000][Annecy],,"[6.12212,45.900479]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",fe70a575-aaa4-438e-8ab6-1ad94803dcdd,[Rue de la Legettaz][73150][Val-d'Isère],,"[6.897273,45.459233]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",c9e120dc-d58c-4b2b-8d0b-624d589b7a25,[Rue Guillaume Fichet][74000][Annecy],,"[6.12983,45.902285]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",778edce8-4070-4558-8fb1-563d63279190,2 rue Vauban 78000 Versailles,,"[2.153577,48.799674]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",6a86682b-d77b-42ca-8235-09c81b55b970,[91 route de sainghin][59650][Villeneuve-d'Ascq],,"[3.164273,50.60612]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",c60f33d9-cbb9-4545-9a99-f3bba8307f54,[355 Rue Gabriel Voisin][69400][Villefranche-sur-Saône],,"[4.741728,45.980558]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",61baa448-2083-4fef-8222-3d7f84c3f933,[33 Boulevard du Fier][74000][Annecy],,"[6.116686,45.917568]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",dfbe6f1b-76ca-4bbc-b340-e8095facb14a,[178] [route de cran gevrier][74650][Chavanod],,"[6.079967,45.894798]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",9ad7de52-bd2b-4268-bad6-c2625bedb855,[1184 Rte d’Albertville][74410][Saint-Jorioz],,"[6.178151,45.830847]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",32b52f9a-3683-45c8-a3aa-b1fd857077d5,6 Avenue de Paris 78000 Versailles,,"[2.130358,48.801996]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",550150eb-c742-4baf-aaa4-674c985749db,[305D Rue Gabriel Voisin][69400][Villefranche-sur-Saône],,"[4.74223,45.979647]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",f6459866-6520-4b90-89d2-cbe98e70173b,[10 Rue Richard Gurley Drew][74160][Archamps],,"[6.12238,46.136412]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",99715f51-5196-4b51-8363-7877970dbe7f,"[Parc des Glaisins, 12 C Rue du Pré Faucon][74940][Annecy]",,"[6.165283,45.930099]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",87493a6d-9d3d-4b20-9938-3e7427eceae3,7-1 Rue Paul Dautier 78140 Vélizy-Villacoublay,,"[2.210091,48.780621]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",3d8debc7-d9c9-42bb-94af-5e624b4940d8,Rue Jean Jaures 83120 Plan de la Tour,,"[6.546778,43.337839]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e021f54d-223d-4956-9e0e-a1a1c3f3878e,[7 rue Orion][74650][Chavanod],,"[6.079026,45.893398]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",5131aa53-09c1-4043-8434-cfc1e588db64,Parking Complexe Pastorelli 83120 Sainte-Maxime,,"[6.6342,43.314926]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",24834998-e49a-4be7-a0c3-b3a2859da4f2,Parking Complexe Bosquet 83120 Sainte-Maxime,,"[6.616837,43.329318]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",9f597a2d-6238-4b78-a813-ee855a418a0a,"504 Avenue du Mas d'Argelliers, 34000 MONTPELLIER",34172,"[3.889034,43.58858]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",267d1c97-8f71-4a85-963d-31a698a6dcc4,"1 Rue du Parc des Vergers, 91250 Tigery",,"[2.510894,48.633179]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",2f598397-f21c-403f-a167-e5e284163a6f,80 Av. Gabriel Péri 95870 BEZONS,95063,"[2.212336,48.931356]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",eb97d3b6-865d-4fee-9fad-da935d847292,[Avenue Denis Therme][73630][Le Chatelard],,"[6.13535,45.686943]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",4620b720-69c5-4554-b104-6aed916fe141,[Route de Sainghin] [59493] [VILLENEUVE D'ASCQ],,"[3.165022,50.606513]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",29346d5c-f9ba-4dae-99f0-98d7999dc758,[761 Route des Vernes][74370][Pringy],,"[6.126458,45.937338]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",d2957c58-2303-46c4-8a78-527ada0a344f,0 avenue du Général de Gaulle 78000 Versailles,,"[2.129056,48.800833]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",5d0007eb-dfc3-4815-8785-f39333bc0810,61 - 57 Rue de la Bonne Aventure 78000 Versailles,,"[2.151875,48.806742]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",a2321d44-86c7-42ff-bfc1-fbf804d07c26,Parking Gaumont 83120 Sainte-Maxime,,"[6.624927,43.325788]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",54cf0b85-c0b4-4652-9338-2c10152fa0df,"ASF Aire de Toulouse Sud Nord, 31450 A61 DEYME",31161,"[1.54897648,43.48582412]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",6c06cbcb-3045-41e5-94d5-f6347aa714a5,"  A9, Aire de Marguerittes Sud, Marguerittes  30320  France",,"[4.439411,43.869269]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",44d1a007-dcff-4cd6-8743-59ec1fb5a89b,7 Boulevard de la Reine 78000 Versailles,,"[2.12096,48.809898]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e32b0fd5-119c-46ee-964d-b2bf6bc082eb,4 Rue Dewoitine 78140 Vélizy-Villacoublay,,"[2.215456,48.782833]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",e06cda58-896c-4119-9d4d-e7f9711b2d18,5 Allée Latécoère 78140 Vélizy-Villacoublay,,"[2.211931,48.785437]"
"July 23, 2024, 11:30 AM","July 23, 2024, 11:30 AM",97b6eafa-9dc5-4811-91f1-26047b764157,1 Chemin des Canissons 83240 Cavalaire-sur-Mer,,"[6.519044,43.172029]"
