index,region,dept,com
0,27,71,71010
1,84,43,43196
2,75,33,33353
3,76,30,30129
4,24,28,28385
5,32,80,80496
6,44,52,52346
7,28,14,14079
8,28,14,14050
9,11,95,95369
10,28,27,27363
11,84,38,38166
12,28,76,76584
13,27,21,21587
14,75,17,17350
15,76,31,31155
16,28,76,76686
17,84,38,38364
18,75,24,24384
19,84,03,03091
20,52,85,85062
21,,,14423
22,84,07,07343
23,76,32,32463
24,44,08,08140
25,27,39,39193
26,93,13,13035
27,94,2B,2B307
28,52,85,85291
29,11,77,77397
30,32,02,02272
31,32,02,02769
32,28,14,14569
33,28,76,76634
34,44,08,08278
35,84,69,69283
36,,,73185
37,,,51564
38,28,76,76055
39,53,29,29119
40,76,30,30169
41,75,33,33486
42,75,16,16239
43,75,23,23044
44,75,64,64282
45,76,66,66075
46,53,22,22160
47,24,18,18178
48,44,52,52278
49,,,53124
50,44,54,54197
51,27,39,39298
52,84,42,42086
53,28,50,50521
54,75,24,24324
55,84,42,42179
56,76,65,65462
57,76,66,66187
58,75,33,33328
59,76,31,31014
60,28,14,14499
61,24,41,41292
62,32,62,62592
63,44,67,67295
64,93,06,06086
65,32,80,80586
66,53,22,22091
67,27,70,70028
68,52,53,53137
69,32,02,02567
70,76,81,81211
71,75,64,64346
72,76,30,30154
73,84,01,01025
74,76,31,31225
75,84,38,38144
76,27,39,39313
77,75,64,64007
78,75,16,16373
79,32,62,62161
80,,,15108
81,84,69,69127
82,76,12,12296
83,44,10,10418
84,28,14,14469
85,75,17,17427
86,,,39414
87,84,43,43232
88,27,39,39348
89,76,65,65084
90,,,55499
91,27,71,71343
92,76,46,46200
93,76,34,34169
94,,,73212
95,27,90,90029
96,24,28,28025
97,11,95,95212
98,27,25,25347
99,44,54,54023
100,27,70,70043
101,11,77,77336
102,44,67,67283
103,11,78,78382
104,44,68,68128
105,76,32,32095
106,75,19,19177
107,84,63,63038
108,76,09,09208
109,28,61,61366
110,52,53,53094
111,44,52,52362
112,44,88,88270
113,75,40,40228
114,84,73,73252
115,32,59,59038
116,75,87,87092
117,84,26,26164
118,28,27,27587
119,93,83,83050
120,84,07,07267
121,28,14,14639
122,52,72,72072
123,44,55,55330
124,28,27,27366
125,44,08,08111
126,76,32,32253
127,44,10,10173
128,11,94,94060
129,24,41,41049
130,,,12014
131,76,09,09162
132,84,43,43128
133,76,81,81237
134,27,25,25170
135,53,22,22334
136,32,80,80022
137,28,61,61319
138,75,86,86066
139,84,73,73081
140,32,60,60543
141,24,37,37144
142,84,07,07323
143,28,50,50186
144,28,76,76641
145,53,29,29251
146,84,73,73237
147,84,38,38174
148,27,21,21240
149,52,72,72023
150,24,28,28333
151,,,49289
152,44,88,88381
153,44,57,57340
154,76,31,31267
155,76,32,32148
156,84,01,01357
157,44,57,57556
158,11,78,78245
159,32,59,59049
160,44,54,54033
161,75,17,17068
162,27,71,71297
163,93,06,06149
164,84,03,03008
165,76,11,11220
166,84,42,42202
167,93,04,04240
168,84,69,69109
169,84,43,43201
170,75,23,23052
171,,,76277
172,44,88,88478
173,27,25,25166
174,44,57,57296
175,32,80,80513
176,11,77,77481
177,44,88,88045
178,27,21,21093
179,84,74,74232
180,76,11,11348
181,32,62,62791
182,84,69,69281
183,44,67,67123
184,27,89,89134
185,76,12,12188
186,52,44,44164
187,24,36,36067
188,75,16,16170
189,24,37,37242
190,84,63,63413
191,27,25,25514
192,27,70,70257
193,84,63,63108
194,32,62,62279
195,44,10,10437
196,32,59,59182
197,76,46,46098
198,32,02,02211
199,93,13,13110
200,28,27,27004
201,52,85,85061
202,32,80,80775
203,27,71,71024
204,,,73111
205,53,29,29020
206,,,01442
207,76,46,46168
208,53,22,22264
209,93,83,83050
210,24,36,36228
211,76,32,32354
212,32,62,62839
213,84,74,74013
214,27,21,21498
215,11,77,77257
216,28,14,14668
217,,,73236
218,44,51,51477
219,32,62,62722
220,27,89,89046
221,28,61,61362
222,84,63,63227
223,32,02,02056
224,93,13,13006
225,24,37,37112
226,32,62,62208
227,76,81,81232
228,75,40,40130
229,52,49,49288
230,44,52,52050
231,53,56,56198
232,84,73,73176
233,28,14,14346
234,76,11,11423
235,75,87,87039
236,93,06,06029
237,84,01,01093
238,84,07,07130
239,27,71,71520
240,76,65,65235
241,,,88361
242,28,50,50233
243,53,29,29291
244,28,14,14022
245,32,80,80349
246,28,50,50256
247,44,10,10068
248,75,40,40121
249,75,33,33253
250,53,56,56152
251,27,71,71414
252,84,43,43242
253,28,14,14676
254,44,54,54337
255,27,39,39109
256,28,27,27512
257,28,50,50513
258,76,34,34154
259,84,42,42265
260,75,40,40063
261,24,28,28263
262,28,76,76101
263,84,26,26137
264,53,22,22210
265,27,25,25251
266,44,08,08175
267,75,16,16236
268,84,01,01135
269,,,50287
270,75,40,40100
271,24,41,41290
272,,,14153
273,76,30,30071
274,75,23,23009
275,32,59,59651
276,75,24,24074
277,32,62,62075
278,24,36,36191
279,32,60,60194
280,76,09,09170
281,27,25,25504
282,76,32,32468
283,93,83,83072
284,27,89,89469
285,28,61,61321
286,,,73260
287,84,73,73206
288,75,17,17311
289,44,51,51225
290,27,21,21565
291,,,71279
292,75,64,64555
293,27,25,25278
294,84,38,38042
295,44,55,55386
296,44,67,67160
297,32,62,62238
298,11,77,77203
299,84,63,63455
300,28,61,61074
301,53,29,29262
302,75,40,40070
303,75,40,40235
304,44,57,57016
305,75,64,64005
306,75,79,79059
307,32,60,60021
308,27,39,39555
309,24,28,28010
310,32,60,60381
311,53,22,22384
312,32,60,60651
313,11,77,77265
314,75,86,86088
315,76,30,30110
316,44,10,10366
317,76,09,09261
318,75,33,33149
319,75,87,87130
320,44,54,54589
321,32,02,02114
322,28,14,14692
323,28,61,61401
324,76,11,11246
325,,,25291
326,27,25,25103
327,28,27,27678
328,27,71,71124
329,28,27,27361
330,75,87,87069
331,75,24,24404
332,52,72,72060
333,32,60,60319
334,32,60,60374
335,27,21,21148
336,,,85030
337,75,24,24392
338,76,32,32357
339,52,53,53189
340,32,60,60286
341,32,62,62133
342,84,42,42253
343,32,59,59530
344,28,61,61404
345,75,17,17395
346,84,69,69088
347,44,54,54511
348,32,02,02180
349,76,11,11422
350,,,02811
351,27,25,25065
352,32,62,62054
353,28,76,76604
354,75,24,24132
355,28,61,61446
356,75,23,23105
357,27,71,71167
358,76,31,31501
359,52,44,44118
360,76,81,81118
361,11,95,95212
362,44,88,88036
363,76,30,30302
364,27,71,71255
365,32,02,02179
366,27,70,70446
367,24,36,36203
368,76,30,30069
369,53,22,22335
370,28,14,14288
371,24,45,45227
372,28,14,14207
373,76,34,34106
374,27,71,71437
375,44,54,54073
376,76,12,12214
377,28,61,61423
378,76,46,46072
379,27,70,70192
380,27,25,25030
381,44,55,55224
382,27,71,71345
383,75,40,40035
384,75,86,86018
385,28,14,14136
386,44,10,10139
387,32,60,60366
388,76,66,66001
389,84,03,03092
390,76,82,82013
391,28,27,27624
392,76,46,46087
393,,,52498
394,76,11,11127
395,76,32,32371
396,76,32,32156
397,24,18,18090
398,44,54,54474
399,32,59,59602
400,44,51,51380
401,75,86,86254
402,76,11,11098
403,32,02,02726
404,76,32,32058
405,84,74,74285
406,84,73,73253
407,44,57,57297
408,94,2B,2B034
409,84,73,73292
410,76,11,11307
411,11,77,77247
412,44,10,10050
413,44,57,57388
414,75,33,33449
415,,,55413
416,75,40,40137
417,84,15,15032
418,53,22,22030
419,32,60,60085
420,28,27,27151
421,24,36,36022
422,84,15,15127
423,32,60,60596
424,75,79,79301
425,53,35,35218
426,75,87,87159
427,93,06,06057
428,52,49,49332
429,27,71,71586
430,94,2B,2B277
431,76,12,12110
432,76,32,32401
433,76,11,11352
434,84,15,15015
435,44,57,57754
436,24,41,41118
437,44,54,54446
438,28,76,76095
439,84,38,38219
440,75,86,86217
441,75,86,86055
